Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Atlanta, GA metro area",metro,12/9/2019,1/5/2020,1569,-0.000636943,-0.10%
12,2020,4 weeks,"Atlanta, GA metro area",metro,12/16/2019,1/12/2020,1761,0.014400922,1.40%
19,2020,4 weeks,"Atlanta, GA metro area",metro,12/23/2019,1/19/2020,1949,-0.035148515,-3.50%
26,2020,4 weeks,"Atlanta, GA metro area",metro,12/30/2019,1/26/2020,2381,-0.0132615,-1.30%
33,2020,4 weeks,"Atlanta, GA metro area",metro,1/6/2020,2/2/2020,2651,-0.008230453,-0.80%
40,2020,4 weeks,"Atlanta, GA metro area",metro,1/13/2020,2/9/2020,2677,-0.029369108,-2.90%
47,2020,4 weeks,"Atlanta, GA metro area",metro,1/20/2020,2/16/2020,2712,-0.027259684,-2.70%
54,2020,4 weeks,"Atlanta, GA metro area",metro,1/27/2020,2/23/2020,2710,-0.038325053,-3.80%
61,2020,4 weeks,"Atlanta, GA metro area",metro,2/3/2020,3/1/2020,2806,-0.04101162,-4.10%
68,2020,4 weeks,"Atlanta, GA metro area",metro,2/10/2020,3/8/2020,2902,-0.048212529,-4.80%
75,2020,4 weeks,"Atlanta, GA metro area",metro,2/17/2020,3/15/2020,3127,-0.016047829,-1.60%
82,2020,4 weeks,"Atlanta, GA metro area",metro,2/24/2020,3/22/2020,3312,-0.012227856,-1.20%
89,2020,4 weeks,"Atlanta, GA metro area",metro,3/2/2020,3/29/2020,3239,-0.048192771,-4.80%
96,2020,4 weeks,"Atlanta, GA metro area",metro,3/9/2020,4/5/2020,3136,-0.090223383,-9.00%
103,2020,4 weeks,"Atlanta, GA metro area",metro,3/16/2020,4/12/2020,2842,-0.203698515,-20.40%
110,2020,4 weeks,"Atlanta, GA metro area",metro,3/23/2020,4/19/2020,2576,-0.278431373,-27.80%
117,2020,4 weeks,"Atlanta, GA metro area",metro,3/30/2020,4/26/2020,2438,-0.326519337,-32.70%
124,2020,4 weeks,"Atlanta, GA metro area",metro,4/6/2020,5/3/2020,2439,-0.342055571,-34.20%
131,2020,4 weeks,"Atlanta, GA metro area",metro,4/13/2020,5/10/2020,2571,-0.295809367,-29.60%
138,2020,4 weeks,"Atlanta, GA metro area",metro,4/20/2020,5/17/2020,2753,-0.268791501,-26.90%
