Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Austin, TX metro area",metro,12/9/2019,1/5/2020,372,0.027624309,2.80%
12,2020,4 weeks,"Austin, TX metro area",metro,12/16/2019,1/12/2020,424,0.089974293,9.00%
19,2020,4 weeks,"Austin, TX metro area",metro,12/23/2019,1/19/2020,482,-0.012295082,-1.20%
26,2020,4 weeks,"Austin, TX metro area",metro,12/30/2019,1/26/2020,614,0.009868421,1.00%
33,2020,4 weeks,"Austin, TX metro area",metro,1/6/2020,2/2/2020,695,-0.014184397,-1.40%
40,2020,4 weeks,"Austin, TX metro area",metro,1/13/2020,2/9/2020,712,-0.029972752,-3.00%
47,2020,4 weeks,"Austin, TX metro area",metro,1/20/2020,2/16/2020,737,-0.022546419,-2.30%
54,2020,4 weeks,"Austin, TX metro area",metro,1/27/2020,2/23/2020,757,0.001322751,0.10%
61,2020,4 weeks,"Austin, TX metro area",metro,2/3/2020,3/1/2020,809,0.017610063,1.80%
68,2020,4 weeks,"Austin, TX metro area",metro,2/10/2020,3/8/2020,852,-0.00234192,-0.20%
75,2020,4 weeks,"Austin, TX metro area",metro,2/17/2020,3/15/2020,921,0.04778157,4.80%
82,2020,4 weeks,"Austin, TX metro area",metro,2/24/2020,3/22/2020,999,0.067307692,6.70%
89,2020,4 weeks,"Austin, TX metro area",metro,3/2/2020,3/29/2020,976,0.03062302,3.10%
96,2020,4 weeks,"Austin, TX metro area",metro,3/9/2020,4/5/2020,931,-0.046106557,-4.60%
103,2020,4 weeks,"Austin, TX metro area",metro,3/16/2020,4/12/2020,844,-0.171736997,-17.20%
110,2020,4 weeks,"Austin, TX metro area",metro,3/23/2020,4/19/2020,754,-0.242211055,-24.20%
117,2020,4 weeks,"Austin, TX metro area",metro,3/30/2020,4/26/2020,754,-0.265822785,-26.60%
124,2020,4 weeks,"Austin, TX metro area",metro,4/6/2020,5/3/2020,807,-0.21574344,-21.60%
131,2020,4 weeks,"Austin, TX metro area",metro,4/13/2020,5/10/2020,854,-0.139112903,-13.90%
138,2020,4 weeks,"Austin, TX metro area",metro,4/20/2020,5/17/2020,906,-0.146088596,-14.60%
145,2020,4 weeks,"Austin, TX metro area",metro,4/27/2020,5/24/2020,933,-0.099420849,-9.90%
152,2020,4 weeks,"Austin, TX metro area",metro,5/4/2020,5/31/2020,881,-0.127722772,-12.80%
159,2020,4 weeks,"Austin, TX metro area",metro,5/11/2020,6/7/2020,906,-0.113502935,-11.40%
