Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Dallas, TX metro area",metro,12/9/2019,1/5/2020,850,-0.028571429,-2.90%
12,2020,4 weeks,"Dallas, TX metro area",metro,12/16/2019,1/12/2020,935,-0.029075805,-2.90%
19,2020,4 weeks,"Dallas, TX metro area",metro,12/23/2019,1/19/2020,1084,-0.020776874,-2.10%
26,2020,4 weeks,"Dallas, TX metro area",metro,12/30/2019,1/26/2020,1351,0.00148258,0.10%
33,2020,4 weeks,"Dallas, TX metro area",metro,1/6/2020,2/2/2020,1522,0.029073698,2.90%
40,2020,4 weeks,"Dallas, TX metro area",metro,1/13/2020,2/9/2020,1599,0.044415415,4.40%
47,2020,4 weeks,"Dallas, TX metro area",metro,1/20/2020,2/16/2020,1622,0.035098915,3.50%
54,2020,4 weeks,"Dallas, TX metro area",metro,1/27/2020,2/23/2020,1662,0.061980831,6.20%
61,2020,4 weeks,"Dallas, TX metro area",metro,2/3/2020,3/1/2020,1703,0.03778184,3.80%
68,2020,4 weeks,"Dallas, TX metro area",metro,2/10/2020,3/8/2020,1801,0.068208778,6.80%
75,2020,4 weeks,"Dallas, TX metro area",metro,2/17/2020,3/15/2020,1902,0.093103448,9.30%
82,2020,4 weeks,"Dallas, TX metro area",metro,2/24/2020,3/22/2020,1872,0.00916442,0.90%
89,2020,4 weeks,"Dallas, TX metro area",metro,3/2/2020,3/29/2020,1755,-0.074855034,-7.50%
96,2020,4 weeks,"Dallas, TX metro area",metro,3/9/2020,4/5/2020,1566,-0.210685484,-21.10%
103,2020,4 weeks,"Dallas, TX metro area",metro,3/16/2020,4/12/2020,1349,-0.346414729,-34.60%
110,2020,4 weeks,"Dallas, TX metro area",metro,3/23/2020,4/19/2020,1285,-0.361966236,-36.20%
117,2020,4 weeks,"Dallas, TX metro area",metro,3/30/2020,4/26/2020,1346,-0.349758454,-35.00%
124,2020,4 weeks,"Dallas, TX metro area",metro,4/6/2020,5/3/2020,1508,-0.266180049,-26.60%
131,2020,4 weeks,"Dallas, TX metro area",metro,4/13/2020,5/10/2020,1676,-0.15694165,-15.70%
138,2020,4 weeks,"Dallas, TX metro area",metro,4/20/2020,5/17/2020,1828,-0.113051917,-11.30%
145,2020,4 weeks,"Dallas, TX metro area",metro,4/27/2020,5/24/2020,1935,-0.041604755,-4.20%
152,2020,4 weeks,"Dallas, TX metro area",metro,5/4/2020,5/31/2020,1862,-0.04070067,-4.10%
159,2020,4 weeks,"Dallas, TX metro area",metro,5/11/2020,6/7/2020,1896,-0.052947053,-5.30%
166,2020,4 weeks,"Dallas, TX metro area",metro,5/18/2020,6/14/2020,1888,-0.063027295,-6.30%
173,2020,4 weeks,"Dallas, TX metro area",metro,5/25/2020,6/21/2020,1874,-0.067661692,-6.80%
180,2020,4 weeks,"Dallas, TX metro area",metro,6/1/2020,6/28/2020,1909,-0.07688588,-7.70%
187,2020,4 weeks,"Dallas, TX metro area",metro,6/8/2020,7/5/2020,1862,-0.044638276,-4.50%
194,2020,4 weeks,"Dallas, TX metro area",metro,6/15/2020,7/12/2020,1839,-0.041688379,-4.20%
201,2020,4 weeks,"Dallas, TX metro area",metro,6/22/2020,7/19/2020,1841,-0.031562336,-3.20%
208,2020,4 weeks,"Dallas, TX metro area",metro,6/29/2020,7/26/2020,1818,-0.01034295,-1.00%
215,2020,4 weeks,"Dallas, TX metro area",metro,7/6/2020,8/2/2020,1815,-0.025764895,-2.60%
222,2020,4 weeks,"Dallas, TX metro area",metro,7/13/2020,8/9/2020,1790,0.004489338,0.40%
229,2020,4 weeks,"Dallas, TX metro area",metro,7/20/2020,8/16/2020,1745,0.029498525,2.90%
236,2020,4 weeks,"Dallas, TX metro area",metro,7/27/2020,8/23/2020,1744,0.061472915,6.10%
243,2020,4 weeks,"Dallas, TX metro area",metro,8/3/2020,8/30/2020,1710,0.065420561,6.50%
250,2020,4 weeks,"Dallas, TX metro area",metro,8/10/2020,9/6/2020,1705,0.077749684,7.80%
