Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Houston, TX metro area",metro,12/9/2019,1/5/2020,1254,0.028712059,2.90%
12,2020,4 weeks,"Houston, TX metro area",metro,12/16/2019,1/12/2020,1379,0.036842105,3.70%
19,2020,4 weeks,"Houston, TX metro area",metro,12/23/2019,1/19/2020,1558,0.018300654,1.80%
26,2020,4 weeks,"Houston, TX metro area",metro,12/30/2019,1/26/2020,1881,0.024509804,2.50%
33,2020,4 weeks,"Houston, TX metro area",metro,1/6/2020,2/2/2020,2144,0.035248672,3.50%
40,2020,4 weeks,"Houston, TX metro area",metro,1/13/2020,2/9/2020,2215,0.041862653,4.20%
47,2020,4 weeks,"Houston, TX metro area",metro,1/20/2020,2/16/2020,2282,0.044393593,4.40%
54,2020,4 weeks,"Houston, TX metro area",metro,1/27/2020,2/23/2020,2374,0.067446043,6.70%
61,2020,4 weeks,"Houston, TX metro area",metro,2/3/2020,3/1/2020,2452,0.10103278,10.10%
68,2020,4 weeks,"Houston, TX metro area",metro,2/10/2020,3/8/2020,2588,0.102684278,10.30%
75,2020,4 weeks,"Houston, TX metro area",metro,2/17/2020,3/15/2020,2631,0.122919334,12.30%
82,2020,4 weeks,"Houston, TX metro area",metro,2/24/2020,3/22/2020,2631,0.057901086,5.80%
89,2020,4 weeks,"Houston, TX metro area",metro,3/2/2020,3/29/2020,2478,-0.046556368,-4.70%
96,2020,4 weeks,"Houston, TX metro area",metro,3/9/2020,4/5/2020,2243,-0.167099889,-16.70%
103,2020,4 weeks,"Houston, TX metro area",metro,3/16/2020,4/12/2020,2001,-0.283309456,-28.30%
110,2020,4 weeks,"Houston, TX metro area",metro,3/23/2020,4/19/2020,1857,-0.325952813,-32.60%
117,2020,4 weeks,"Houston, TX metro area",metro,3/30/2020,4/26/2020,1855,-0.337026447,-33.70%
124,2020,4 weeks,"Houston, TX metro area",metro,4/6/2020,5/3/2020,1931,-0.306891601,-30.70%
131,2020,4 weeks,"Houston, TX metro area",metro,4/13/2020,5/10/2020,2106,-0.233624454,-23.40%
138,2020,4 weeks,"Houston, TX metro area",metro,4/20/2020,5/17/2020,2275,-0.196397033,-19.60%
145,2020,4 weeks,"Houston, TX metro area",metro,4/27/2020,5/24/2020,2406,-0.147110954,-14.70%
152,2020,4 weeks,"Houston, TX metro area",metro,5/4/2020,5/31/2020,2401,-0.121156662,-12.10%
159,2020,4 weeks,"Houston, TX metro area",metro,5/11/2020,6/7/2020,2497,-0.106618962,-10.70%
166,2020,4 weeks,"Houston, TX metro area",metro,5/18/2020,6/14/2020,2549,-0.089642857,-9.00%
173,2020,4 weeks,"Houston, TX metro area",metro,5/25/2020,6/21/2020,2588,-0.07372942,-7.40%
180,2020,4 weeks,"Houston, TX metro area",metro,6/1/2020,6/28/2020,2585,-0.06813266,-6.80%
187,2020,4 weeks,"Houston, TX metro area",metro,6/8/2020,7/5/2020,2580,-0.034069637,-3.40%
194,2020,4 weeks,"Houston, TX metro area",metro,6/15/2020,7/12/2020,2561,-0.03902439,-3.90%
201,2020,4 weeks,"Houston, TX metro area",metro,6/22/2020,7/19/2020,2556,-0.018056089,-1.80%
208,2020,4 weeks,"Houston, TX metro area",metro,6/29/2020,7/26/2020,2641,0.034064213,3.40%
215,2020,4 weeks,"Houston, TX metro area",metro,7/6/2020,8/2/2020,2591,0.020480504,2.00%
222,2020,4 weeks,"Houston, TX metro area",metro,7/13/2020,8/9/2020,2591,0.070218918,7.00%
229,2020,4 weeks,"Houston, TX metro area",metro,7/20/2020,8/16/2020,2569,0.096457533,9.60%
236,2020,4 weeks,"Houston, TX metro area",metro,7/27/2020,8/23/2020,2513,0.101226994,10.10%
243,2020,4 weeks,"Houston, TX metro area",metro,8/3/2020,8/30/2020,2389,0.06842576,6.80%
250,2020,4 weeks,"Houston, TX metro area",metro,8/10/2020,9/6/2020,2333,0.082096475,8.20%
257,2020,4 weeks,"Houston, TX metro area",metro,8/17/2020,9/13/2020,2227,0.032931354,3.30%
264,2020,4 weeks,"Houston, TX metro area",metro,8/24/2020,9/20/2020,2230,0.083576288,8.40%
271,2020,4 weeks,"Houston, TX metro area",metro,8/31/2020,9/27/2020,2222,0.119959677,12.00%
278,2020,4 weeks,"Houston, TX metro area",metro,9/7/2020,10/4/2020,2262,0.132699049,13.30%
285,2020,4 weeks,"Houston, TX metro area",metro,9/14/2020,10/11/2020,2298,0.167089893,16.70%
292,2020,4 weeks,"Houston, TX metro area",metro,9/21/2020,10/18/2020,2251,0.105599214,10.60%
299,2020,4 weeks,"Houston, TX metro area",metro,9/28/2020,10/25/2020,2334,0.146365422,14.60%
306,2020,4 weeks,"Houston, TX metro area",metro,10/5/2020,11/1/2020,2248,0.144020356,14.40%
313,2020,4 weeks,"Houston, TX metro area",metro,10/12/2020,11/8/2020,2203,0.140859658,14.10%
320,2020,4 weeks,"Houston, TX metro area",metro,10/19/2020,11/15/2020,2189,0.152105263,15.20%
327,2020,4 weeks,"Houston, TX metro area",metro,10/26/2020,11/22/2020,2154,0.145744681,14.60%
334,2020,4 weeks,"Houston, TX metro area",metro,11/2/2020,11/29/2020,1922,0.129923574,13.00%
341,2020,4 weeks,"Houston, TX metro area",metro,11/9/2020,12/6/2020,1866,0.139890043,14.00%
348,2020,4 weeks,"Houston, TX metro area",metro,11/16/2020,12/13/2020,1836,0.175416133,17.50%
355,2020,4 weeks,"Houston, TX metro area",metro,11/23/2020,12/20/2020,1718,0.169503063,17.00%
362,2020,4 weeks,"Houston, TX metro area",metro,11/30/2020,12/27/2020,1658,0.20494186,20.50%
3,2021,4 weeks,"Houston, TX metro area",metro,12/7/2020,1/3/2021,1454,0.159489633,15.90%
10,2021,4 weeks,"Houston, TX metro area",metro,12/14/2020,1/10/2021,1449,0.050761421,5.10%
17,2021,4 weeks,"Houston, TX metro area",metro,12/21/2020,1/17/2021,1580,0.014120668,1.40%
24,2021,4 weeks,"Houston, TX metro area",metro,12/28/2020,1/24/2021,1852,-0.015417331,-1.50%
31,2021,4 weeks,"Houston, TX metro area",metro,1/4/2021,1/31/2021,2128,-0.007462687,-0.70%
38,2021,4 weeks,"Houston, TX metro area",metro,1/11/2021,2/7/2021,2279,0.028893905,2.90%
45,2021,4 weeks,"Houston, TX metro area",metro,1/18/2021,2/14/2021,2287,0.00219106,0.20%
52,2021,4 weeks,"Houston, TX metro area",metro,1/25/2021,2/21/2021,1935,-0.184919966,-18.50%
59,2021,4 weeks,"Houston, TX metro area",metro,2/1/2021,2/28/2021,1915,-0.219004894,-21.90%
66,2021,4 weeks,"Houston, TX metro area",metro,2/8/2021,3/7/2021,1864,-0.279752705,-28.00%
73,2021,4 weeks,"Houston, TX metro area",metro,2/15/2021,3/14/2021,1925,-0.268339035,-26.80%
80,2021,4 weeks,"Houston, TX metro area",metro,2/22/2021,3/21/2021,2330,-0.114405169,-11.40%
87,2021,4 weeks,"Houston, TX metro area",metro,3/1/2021,3/28/2021,2420,-0.023405973,-2.30%
94,2021,4 weeks,"Houston, TX metro area",metro,3/8/2021,4/4/2021,2446,0.09050379,9.10%
101,2021,4 weeks,"Houston, TX metro area",metro,3/15/2021,4/11/2021,2547,0.272863568,27.30%
108,2021,4 weeks,"Houston, TX metro area",metro,3/22/2021,4/18/2021,2642,0.422724825,42.30%
115,2021,4 weeks,"Houston, TX metro area",metro,3/29/2021,4/25/2021,2698,0.454447439,45.40%
122,2021,4 weeks,"Houston, TX metro area",metro,4/5/2021,5/2/2021,2791,0.445365096,44.50%
129,2021,4 weeks,"Houston, TX metro area",metro,4/12/2021,5/9/2021,2788,0.323836657,32.40%
136,2021,4 weeks,"Houston, TX metro area",metro,4/19/2021,5/16/2021,2862,0.258021978,25.80%
143,2021,4 weeks,"Houston, TX metro area",metro,4/26/2021,5/23/2021,2883,0.198254364,19.80%
150,2021,4 weeks,"Houston, TX metro area",metro,5/3/2021,5/30/2021,2858,0.190337359,19.00%
157,2021,4 weeks,"Houston, TX metro area",metro,5/10/2021,6/6/2021,2887,0.156187425,15.60%
164,2021,4 weeks,"Houston, TX metro area",metro,5/17/2021,6/13/2021,2922,0.146331895,14.60%
171,2021,4 weeks,"Houston, TX metro area",metro,5/24/2021,6/20/2021,3021,0.167310665,16.70%
178,2021,4 weeks,"Houston, TX metro area",metro,5/31/2021,6/27/2021,3120,0.20696325,20.70%
185,2021,4 weeks,"Houston, TX metro area",metro,6/7/2021,7/4/2021,3081,0.194186047,19.40%
192,2021,4 weeks,"Houston, TX metro area",metro,6/14/2021,7/11/2021,2999,0.171026943,17.10%
199,2021,4 weeks,"Houston, TX metro area",metro,6/21/2021,7/18/2021,2993,0.170970266,17.10%
206,2021,4 weeks,"Houston, TX metro area",metro,6/28/2021,7/25/2021,2959,0.120408936,12.00%
213,2021,4 weeks,"Houston, TX metro area",metro,7/5/2021,8/1/2021,3031,0.169818603,17.00%
220,2021,4 weeks,"Houston, TX metro area",metro,7/12/2021,8/8/2021,3092,0.193361636,19.30%
227,2021,4 weeks,"Houston, TX metro area",metro,7/19/2021,8/15/2021,2991,0.164266251,16.40%
234,2021,4 weeks,"Houston, TX metro area",metro,7/26/2021,8/22/2021,2866,0.140469558,14.00%
241,2021,4 weeks,"Houston, TX metro area",metro,8/2/2021,8/29/2021,2727,0.141481792,14.10%
248,2021,4 weeks,"Houston, TX metro area",metro,8/9/2021,9/5/2021,2596,0.11273039,11.30%
255,2021,4 weeks,"Houston, TX metro area",metro,8/16/2021,9/12/2021,2504,0.124382577,12.40%
262,2021,4 weeks,"Houston, TX metro area",metro,8/23/2021,9/19/2021,2397,0.074887892,7.50%
269,2021,4 weeks,"Houston, TX metro area",metro,8/30/2021,9/26/2021,2350,0.057605761,5.80%
276,2021,4 weeks,"Houston, TX metro area",metro,9/6/2021,10/3/2021,2265,0.00132626,0.10%
283,2021,4 weeks,"Houston, TX metro area",metro,9/13/2021,10/10/2021,2275,-0.010008703,-1.00%
290,2021,4 weeks,"Houston, TX metro area",metro,9/20/2021,10/17/2021,2333,0.036428254,3.60%
297,2021,4 weeks,"Houston, TX metro area",metro,9/27/2021,10/24/2021,2323,-0.004712939,-0.50%
304,2021,4 weeks,"Houston, TX metro area",metro,10/4/2021,10/31/2021,2300,0.023131673,2.30%
311,2021,4 weeks,"Houston, TX metro area",metro,10/11/2021,11/7/2021,2277,0.033590558,3.40%
318,2021,4 weeks,"Houston, TX metro area",metro,10/18/2021,11/14/2021,2245,0.025582458,2.60%
325,2021,4 weeks,"Houston, TX metro area",metro,10/25/2021,11/21/2021,2218,0.029712163,3.00%
332,2021,4 weeks,"Houston, TX metro area",metro,11/1/2021,11/28/2021,2012,0.046826223,4.70%
339,2021,4 weeks,"Houston, TX metro area",metro,11/8/2021,12/5/2021,1935,0.036977492,3.70%
346,2021,4 weeks,"Houston, TX metro area",metro,11/15/2021,12/12/2021,1856,0.010893246,1.10%
353,2021,4 weeks,"Houston, TX metro area",metro,11/22/2021,12/19/2021,1746,0.016298021,1.60%
360,2021,4 weeks,"Houston, TX metro area",metro,11/29/2021,12/26/2021,1671,0.007840772,0.80%
2,2022,4 weeks,"Houston, TX metro area",metro,12/6/2021,1/2/2022,1463,0.006189821,0.60%
9,2022,4 weeks,"Houston, TX metro area",metro,12/13/2021,1/9/2022,1494,0.031055901,3.10%
16,2022,4 weeks,"Houston, TX metro area",metro,12/20/2021,1/16/2022,1603,0.014556962,1.50%
23,2022,4 weeks,"Houston, TX metro area",metro,12/27/2021,1/23/2022,1897,0.024298056,2.40%
30,2022,4 weeks,"Houston, TX metro area",metro,1/3/2022,1/30/2022,2142,0.006578947,0.70%
37,2022,4 weeks,"Houston, TX metro area",metro,1/10/2022,2/6/2022,2180,-0.043440105,-4.30%
44,2022,4 weeks,"Houston, TX metro area",metro,1/17/2022,2/13/2022,2207,-0.034980324,-3.50%
51,2022,4 weeks,"Houston, TX metro area",metro,1/24/2022,2/20/2022,2246,0.160723514,16.10%
58,2022,4 weeks,"Houston, TX metro area",metro,1/31/2022,2/27/2022,2248,0.173890339,17.40%
65,2022,4 weeks,"Houston, TX metro area",metro,2/7/2022,3/6/2022,2356,0.263948498,26.40%
