Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Jacksonville, FL metro area",metro,12/9/2019,1/5/2020,465,0.131386861,13.10%
12,2020,4 weeks,"Jacksonville, FL metro area",metro,12/16/2019,1/12/2020,490,0.044776119,4.50%
19,2020,4 weeks,"Jacksonville, FL metro area",metro,12/23/2019,1/19/2020,551,-0.024778761,-2.50%
26,2020,4 weeks,"Jacksonville, FL metro area",metro,12/30/2019,1/26/2020,660,-0.004524887,-0.50%
33,2020,4 weeks,"Jacksonville, FL metro area",metro,1/6/2020,2/2/2020,736,-0.010752688,-1.10%
40,2020,4 weeks,"Jacksonville, FL metro area",metro,1/13/2020,2/9/2020,752,-0.018276762,-1.80%
47,2020,4 weeks,"Jacksonville, FL metro area",metro,1/20/2020,2/16/2020,759,0.02016129,2.00%
54,2020,4 weeks,"Jacksonville, FL metro area",metro,1/27/2020,2/23/2020,779,0.014322917,1.40%
61,2020,4 weeks,"Jacksonville, FL metro area",metro,2/3/2020,3/1/2020,784,-0.016311167,-1.60%
68,2020,4 weeks,"Jacksonville, FL metro area",metro,2/10/2020,3/8/2020,832,0.010935601,1.10%
75,2020,4 weeks,"Jacksonville, FL metro area",metro,2/17/2020,3/15/2020,860,-0.003476246,-0.30%
82,2020,4 weeks,"Jacksonville, FL metro area",metro,2/24/2020,3/22/2020,899,0.061393152,6.10%
89,2020,4 weeks,"Jacksonville, FL metro area",metro,3/2/2020,3/29/2020,899,0.085748792,8.60%
96,2020,4 weeks,"Jacksonville, FL metro area",metro,3/9/2020,4/5/2020,846,0.022974607,2.30%
103,2020,4 weeks,"Jacksonville, FL metro area",metro,3/16/2020,4/12/2020,787,-0.034355828,-3.40%
110,2020,4 weeks,"Jacksonville, FL metro area",metro,3/23/2020,4/19/2020,717,-0.15248227,-15.20%
117,2020,4 weeks,"Jacksonville, FL metro area",metro,3/30/2020,4/26/2020,680,-0.207459207,-20.70%
124,2020,4 weeks,"Jacksonville, FL metro area",metro,4/6/2020,5/3/2020,665,-0.220398593,-22.00%
131,2020,4 weeks,"Jacksonville, FL metro area",metro,4/13/2020,5/10/2020,682,-0.199530516,-20.00%
138,2020,4 weeks,"Jacksonville, FL metro area",metro,4/20/2020,5/17/2020,698,-0.181711606,-18.20%
145,2020,4 weeks,"Jacksonville, FL metro area",metro,4/27/2020,5/24/2020,732,-0.132701422,-13.30%
152,2020,4 weeks,"Jacksonville, FL metro area",metro,5/4/2020,5/31/2020,716,-0.121472393,-12.10%
159,2020,4 weeks,"Jacksonville, FL metro area",metro,5/11/2020,6/7/2020,776,-0.052503053,-5.30%
166,2020,4 weeks,"Jacksonville, FL metro area",metro,5/18/2020,6/14/2020,776,-0.038413879,-3.80%
173,2020,4 weeks,"Jacksonville, FL metro area",metro,5/25/2020,6/21/2020,786,0.001273885,0.10%
180,2020,4 weeks,"Jacksonville, FL metro area",metro,6/1/2020,6/28/2020,819,0.040660737,4.10%
187,2020,4 weeks,"Jacksonville, FL metro area",metro,6/8/2020,7/5/2020,762,0.016,1.60%
194,2020,4 weeks,"Jacksonville, FL metro area",metro,6/15/2020,7/12/2020,763,0.024161074,2.40%
201,2020,4 weeks,"Jacksonville, FL metro area",metro,6/22/2020,7/19/2020,752,-0.001328021,-0.10%
208,2020,4 weeks,"Jacksonville, FL metro area",metro,6/29/2020,7/26/2020,746,-0.020997375,-2.10%
215,2020,4 weeks,"Jacksonville, FL metro area",metro,7/6/2020,8/2/2020,755,-0.032051282,-3.20%
222,2020,4 weeks,"Jacksonville, FL metro area",metro,7/13/2020,8/9/2020,782,0.003851091,0.40%
229,2020,4 weeks,"Jacksonville, FL metro area",metro,7/20/2020,8/16/2020,775,0.006493506,0.60%
236,2020,4 weeks,"Jacksonville, FL metro area",metro,7/27/2020,8/23/2020,773,0.037583893,3.80%
243,2020,4 weeks,"Jacksonville, FL metro area",metro,8/3/2020,8/30/2020,779,0.086471409,8.60%
