Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Las Vegas, NV metro area",metro,12/9/2019,1/5/2020,487,-0.18968386,-19.00%
12,2020,4 weeks,"Las Vegas, NV metro area",metro,12/16/2019,1/12/2020,530,-0.204204204,-20.40%
19,2020,4 weeks,"Las Vegas, NV metro area",metro,12/23/2019,1/19/2020,605,-0.20499343,-20.50%
26,2020,4 weeks,"Las Vegas, NV metro area",metro,12/30/2019,1/26/2020,739,-0.193231441,-19.30%
33,2020,4 weeks,"Las Vegas, NV metro area",metro,1/6/2020,2/2/2020,838,-0.166998012,-16.70%
40,2020,4 weeks,"Las Vegas, NV metro area",metro,1/13/2020,2/9/2020,875,-0.135375494,-13.50%
47,2020,4 weeks,"Las Vegas, NV metro area",metro,1/20/2020,2/16/2020,898,-0.119607843,-12.00%
54,2020,4 weeks,"Las Vegas, NV metro area",metro,1/27/2020,2/23/2020,910,-0.078947368,-7.90%
61,2020,4 weeks,"Las Vegas, NV metro area",metro,2/3/2020,3/1/2020,944,-0.048387097,-4.80%
68,2020,4 weeks,"Las Vegas, NV metro area",metro,2/10/2020,3/8/2020,979,-0.064947469,-6.50%
75,2020,4 weeks,"Las Vegas, NV metro area",metro,2/17/2020,3/15/2020,1025,-0.057904412,-5.80%
82,2020,4 weeks,"Las Vegas, NV metro area",metro,2/24/2020,3/22/2020,1066,-0.064912281,-6.50%
89,2020,4 weeks,"Las Vegas, NV metro area",metro,3/2/2020,3/29/2020,1031,-0.10034904,-10.00%
96,2020,4 weeks,"Las Vegas, NV metro area",metro,3/9/2020,4/5/2020,950,-0.171752398,-17.20%
103,2020,4 weeks,"Las Vegas, NV metro area",metro,3/16/2020,4/12/2020,842,-0.272255834,-27.20%
110,2020,4 weeks,"Las Vegas, NV metro area",metro,3/23/2020,4/19/2020,757,-0.34173913,-34.20%
117,2020,4 weeks,"Las Vegas, NV metro area",metro,3/30/2020,4/26/2020,699,-0.385764499,-38.60%
124,2020,4 weeks,"Las Vegas, NV metro area",metro,4/6/2020,5/3/2020,694,-0.387466902,-38.70%
131,2020,4 weeks,"Las Vegas, NV metro area",metro,4/13/2020,5/10/2020,726,-0.352363961,-35.20%
138,2020,4 weeks,"Las Vegas, NV metro area",metro,4/20/2020,5/17/2020,774,-0.325783972,-32.60%
145,2020,4 weeks,"Las Vegas, NV metro area",metro,4/27/2020,5/24/2020,831,-0.286082474,-28.60%
152,2020,4 weeks,"Las Vegas, NV metro area",metro,5/4/2020,5/31/2020,842,-0.247542449,-24.80%
159,2020,4 weeks,"Las Vegas, NV metro area",metro,5/11/2020,6/7/2020,867,-0.219621962,-22.00%
166,2020,4 weeks,"Las Vegas, NV metro area",metro,5/18/2020,6/14/2020,849,-0.237196765,-23.70%
173,2020,4 weeks,"Las Vegas, NV metro area",metro,5/25/2020,6/21/2020,846,-0.247330961,-24.70%
180,2020,4 weeks,"Las Vegas, NV metro area",metro,6/1/2020,6/28/2020,875,-0.219446922,-21.90%
187,2020,4 weeks,"Las Vegas, NV metro area",metro,6/8/2020,7/5/2020,864,-0.194029851,-19.40%
194,2020,4 weeks,"Las Vegas, NV metro area",metro,6/15/2020,7/12/2020,883,-0.165406427,-16.50%
201,2020,4 weeks,"Las Vegas, NV metro area",metro,6/22/2020,7/19/2020,919,-0.109496124,-10.90%
208,2020,4 weeks,"Las Vegas, NV metro area",metro,6/29/2020,7/26/2020,967,-0.038767396,-3.90%
215,2020,4 weeks,"Las Vegas, NV metro area",metro,7/6/2020,8/2/2020,1021,0.001962709,0.20%
222,2020,4 weeks,"Las Vegas, NV metro area",metro,7/13/2020,8/9/2020,1085,0.098178138,9.80%
229,2020,4 weeks,"Las Vegas, NV metro area",metro,7/20/2020,8/16/2020,1102,0.131416838,13.10%
236,2020,4 weeks,"Las Vegas, NV metro area",metro,7/27/2020,8/23/2020,1100,0.101101101,10.10%
243,2020,4 weeks,"Las Vegas, NV metro area",metro,8/3/2020,8/30/2020,1075,0.064356436,6.40%
250,2020,4 weeks,"Las Vegas, NV metro area",metro,8/10/2020,9/6/2020,1093,0.114169215,11.40%
257,2020,4 weeks,"Las Vegas, NV metro area",metro,8/17/2020,9/13/2020,1082,0.118924509,11.90%
264,2020,4 weeks,"Las Vegas, NV metro area",metro,8/24/2020,9/20/2020,1092,0.147058824,14.70%
271,2020,4 weeks,"Las Vegas, NV metro area",metro,8/31/2020,9/27/2020,1100,0.180257511,18.00%
278,2020,4 weeks,"Las Vegas, NV metro area",metro,9/7/2020,10/4/2020,1047,0.086099585,8.60%
285,2020,4 weeks,"Las Vegas, NV metro area",metro,9/14/2020,10/11/2020,1040,0.071060762,7.10%
292,2020,4 weeks,"Las Vegas, NV metro area",metro,9/21/2020,10/18/2020,1016,0.079702444,8.00%
299,2020,4 weeks,"Las Vegas, NV metro area",metro,9/28/2020,10/25/2020,990,0.093922652,9.40%
306,2020,4 weeks,"Las Vegas, NV metro area",metro,10/5/2020,11/1/2020,948,0.090909091,9.10%
313,2020,4 weeks,"Las Vegas, NV metro area",metro,10/12/2020,11/8/2020,926,0.117008444,11.70%
320,2020,4 weeks,"Las Vegas, NV metro area",metro,10/19/2020,11/15/2020,891,0.106832298,10.70%
327,2020,4 weeks,"Las Vegas, NV metro area",metro,10/26/2020,11/22/2020,881,0.136774194,13.70%
334,2020,4 weeks,"Las Vegas, NV metro area",metro,11/2/2020,11/29/2020,799,0.192537313,19.30%
341,2020,4 weeks,"Las Vegas, NV metro area",metro,11/9/2020,12/6/2020,768,0.196261682,19.60%
348,2020,4 weeks,"Las Vegas, NV metro area",metro,11/16/2020,12/13/2020,766,0.264026403,26.40%
355,2020,4 weeks,"Las Vegas, NV metro area",metro,11/23/2020,12/20/2020,729,0.272251309,27.20%
362,2020,4 weeks,"Las Vegas, NV metro area",metro,11/30/2020,12/27/2020,696,0.303370787,30.30%
3,2021,4 weeks,"Las Vegas, NV metro area",metro,12/7/2020,1/3/2021,623,0.27926078,27.90%
10,2021,4 weeks,"Las Vegas, NV metro area",metro,12/14/2020,1/10/2021,607,0.145283019,14.50%
17,2021,4 weeks,"Las Vegas, NV metro area",metro,12/21/2020,1/17/2021,644,0.06446281,6.40%
24,2021,4 weeks,"Las Vegas, NV metro area",metro,12/28/2020,1/24/2021,757,0.02435724,2.40%
31,2021,4 weeks,"Las Vegas, NV metro area",metro,1/4/2021,1/31/2021,838,0,0.00%
38,2021,4 weeks,"Las Vegas, NV metro area",metro,1/11/2021,2/7/2021,893,0.020571429,2.10%
