Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Los Angeles, CA metro area",metro,12/9/2019,1/5/2020,686,-0.136020151,-13.60%
12,2020,4 weeks,"Los Angeles, CA metro area",metro,12/16/2019,1/12/2020,814,-0.142255005,-14.20%
19,2020,4 weeks,"Los Angeles, CA metro area",metro,12/23/2019,1/19/2020,1009,-0.123370982,-12.30%
26,2020,4 weeks,"Los Angeles, CA metro area",metro,12/30/2019,1/26/2020,1294,-0.120923913,-12.10%
33,2020,4 weeks,"Los Angeles, CA metro area",metro,1/6/2020,2/2/2020,1468,-0.074401009,-7.40%
40,2020,4 weeks,"Los Angeles, CA metro area",metro,1/13/2020,2/9/2020,1508,-0.051572327,-5.20%
47,2020,4 weeks,"Los Angeles, CA metro area",metro,1/20/2020,2/16/2020,1554,-0.023255814,-2.30%
54,2020,4 weeks,"Los Angeles, CA metro area",metro,1/27/2020,2/23/2020,1589,0.005060089,0.50%
61,2020,4 weeks,"Los Angeles, CA metro area",metro,2/3/2020,3/1/2020,1654,0.023514851,2.40%
68,2020,4 weeks,"Los Angeles, CA metro area",metro,2/10/2020,3/8/2020,1697,0.041104294,4.10%
75,2020,4 weeks,"Los Angeles, CA metro area",metro,2/17/2020,3/15/2020,1679,-0.02891845,-2.90%
82,2020,4 weeks,"Los Angeles, CA metro area",metro,2/24/2020,3/22/2020,1614,-0.082954545,-8.30%
89,2020,4 weeks,"Los Angeles, CA metro area",metro,3/2/2020,3/29/2020,1427,-0.209856035,-21.00%
96,2020,4 weeks,"Los Angeles, CA metro area",metro,3/9/2020,4/5/2020,1240,-0.336543606,-33.70%
103,2020,4 weeks,"Los Angeles, CA metro area",metro,3/16/2020,4/12/2020,1051,-0.442735949,-44.30%
110,2020,4 weeks,"Los Angeles, CA metro area",metro,3/23/2020,4/19/2020,961,-0.485821295,-48.60%
117,2020,4 weeks,"Los Angeles, CA metro area",metro,3/30/2020,4/26/2020,985,-0.489637306,-49.00%
124,2020,4 weeks,"Los Angeles, CA metro area",metro,4/6/2020,5/3/2020,1033,-0.479859013,-48.00%
131,2020,4 weeks,"Los Angeles, CA metro area",metro,4/13/2020,5/10/2020,1151,-0.414249364,-41.40%
138,2020,4 weeks,"Los Angeles, CA metro area",metro,4/20/2020,5/17/2020,1290,-0.375302663,-37.50%
145,2020,4 weeks,"Los Angeles, CA metro area",metro,4/27/2020,5/24/2020,1424,-0.270117888,-27.00%
152,2020,4 weeks,"Los Angeles, CA metro area",metro,5/4/2020,5/31/2020,1473,-0.215654952,-21.60%
159,2020,4 weeks,"Los Angeles, CA metro area",metro,5/11/2020,6/7/2020,1556,-0.182343668,-18.20%
166,2020,4 weeks,"Los Angeles, CA metro area",metro,5/18/2020,6/14/2020,1591,-0.149197861,-14.90%
173,2020,4 weeks,"Los Angeles, CA metro area",metro,5/25/2020,6/21/2020,1627,-0.166922683,-16.70%
180,2020,4 weeks,"Los Angeles, CA metro area",metro,6/1/2020,6/28/2020,1687,-0.119979134,-12.00%
187,2020,4 weeks,"Los Angeles, CA metro area",metro,6/8/2020,7/5/2020,1672,-0.053763441,-5.40%
194,2020,4 weeks,"Los Angeles, CA metro area",metro,6/15/2020,7/12/2020,1753,-0.023942094,-2.40%
201,2020,4 weeks,"Los Angeles, CA metro area",metro,6/22/2020,7/19/2020,1793,-0.009392265,-0.90%
208,2020,4 weeks,"Los Angeles, CA metro area",metro,6/29/2020,7/26/2020,1852,0.028888889,2.90%
215,2020,4 weeks,"Los Angeles, CA metro area",metro,7/6/2020,8/2/2020,1941,0.014636696,1.50%
222,2020,4 weeks,"Los Angeles, CA metro area",metro,7/13/2020,8/9/2020,1914,0.036275041,3.60%
229,2020,4 weeks,"Los Angeles, CA metro area",metro,7/20/2020,8/16/2020,1933,0.097671777,9.80%
236,2020,4 weeks,"Los Angeles, CA metro area",metro,7/27/2020,8/23/2020,1929,0.100399315,10.00%
243,2020,4 weeks,"Los Angeles, CA metro area",metro,8/3/2020,8/30/2020,1926,0.17870257,17.90%
250,2020,4 weeks,"Los Angeles, CA metro area",metro,8/10/2020,9/6/2020,1942,0.194341943,19.40%
257,2020,4 weeks,"Los Angeles, CA metro area",metro,8/17/2020,9/13/2020,1951,0.182424242,18.20%
264,2020,4 weeks,"Los Angeles, CA metro area",metro,8/24/2020,9/20/2020,1958,0.181653591,18.20%
271,2020,4 weeks,"Los Angeles, CA metro area",metro,8/31/2020,9/27/2020,1977,0.149418605,14.90%
278,2020,4 weeks,"Los Angeles, CA metro area",metro,9/7/2020,10/4/2020,1992,0.19138756,19.10%
285,2020,4 weeks,"Los Angeles, CA metro area",metro,9/14/2020,10/11/2020,1992,0.231149567,23.10%
292,2020,4 weeks,"Los Angeles, CA metro area",metro,9/21/2020,10/18/2020,2006,0.278521351,27.90%
299,2020,4 weeks,"Los Angeles, CA metro area",metro,9/28/2020,10/25/2020,1976,0.291503268,29.20%
306,2020,4 weeks,"Los Angeles, CA metro area",metro,10/5/2020,11/1/2020,1902,0.269692924,27.00%
313,2020,4 weeks,"Los Angeles, CA metro area",metro,10/12/2020,11/8/2020,1804,0.231399317,23.10%
320,2020,4 weeks,"Los Angeles, CA metro area",metro,10/19/2020,11/15/2020,1714,0.201121233,20.10%
327,2020,4 weeks,"Los Angeles, CA metro area",metro,10/26/2020,11/22/2020,1626,0.210722264,21.10%
334,2020,4 weeks,"Los Angeles, CA metro area",metro,11/2/2020,11/29/2020,1424,0.246935201,24.70%
341,2020,4 weeks,"Los Angeles, CA metro area",metro,11/9/2020,12/6/2020,1393,0.314150943,31.40%
348,2020,4 weeks,"Los Angeles, CA metro area",metro,11/16/2020,12/13/2020,1315,0.368366285,36.80%
355,2020,4 weeks,"Los Angeles, CA metro area",metro,11/23/2020,12/20/2020,1223,0.425407925,42.50%
362,2020,4 weeks,"Los Angeles, CA metro area",metro,11/30/2020,12/27/2020,1144,0.476129032,47.60%
3,2021,4 weeks,"Los Angeles, CA metro area",metro,12/7/2020,1/3/2021,943,0.374635569,37.50%
10,2021,4 weeks,"Los Angeles, CA metro area",metro,12/14/2020,1/10/2021,987,0.212530713,21.30%
17,2021,4 weeks,"Los Angeles, CA metro area",metro,12/21/2020,1/17/2021,1078,0.068384539,6.80%
24,2021,4 weeks,"Los Angeles, CA metro area",metro,12/28/2020,1/24/2021,1310,0.01236476,1.20%
31,2021,4 weeks,"Los Angeles, CA metro area",metro,1/4/2021,1/31/2021,1526,0.039509537,4.00%
38,2021,4 weeks,"Los Angeles, CA metro area",metro,1/11/2021,2/7/2021,1595,0.057692308,5.80%
45,2021,4 weeks,"Los Angeles, CA metro area",metro,1/18/2021,2/14/2021,1656,0.065637066,6.60%
52,2021,4 weeks,"Los Angeles, CA metro area",metro,1/25/2021,2/21/2021,1709,0.075519194,7.60%
59,2021,4 weeks,"Los Angeles, CA metro area",metro,2/1/2021,2/28/2021,1756,0.061668682,6.20%
66,2021,4 weeks,"Los Angeles, CA metro area",metro,2/8/2021,3/7/2021,1805,0.063641721,6.40%
73,2021,4 weeks,"Los Angeles, CA metro area",metro,2/15/2021,3/14/2021,1848,0.100655152,10.10%
80,2021,4 weeks,"Los Angeles, CA metro area",metro,2/22/2021,3/21/2021,1906,0.180916976,18.10%
87,2021,4 weeks,"Los Angeles, CA metro area",metro,3/1/2021,3/28/2021,1940,0.359495445,35.90%
94,2021,4 weeks,"Los Angeles, CA metro area",metro,3/8/2021,4/4/2021,1880,0.516129032,51.60%
101,2021,4 weeks,"Los Angeles, CA metro area",metro,3/15/2021,4/11/2021,1895,0.803044719,80.30%
108,2021,4 weeks,"Los Angeles, CA metro area",metro,3/22/2021,4/18/2021,1892,0.968782518,96.90%
115,2021,4 weeks,"Los Angeles, CA metro area",metro,3/29/2021,4/25/2021,1880,0.908629442,90.90%
122,2021,4 weeks,"Los Angeles, CA metro area",metro,4/5/2021,5/2/2021,1945,0.88286544,88.30%
129,2021,4 weeks,"Los Angeles, CA metro area",metro,4/12/2021,5/9/2021,1929,0.67593397,67.60%
136,2021,4 weeks,"Los Angeles, CA metro area",metro,4/19/2021,5/16/2021,1952,0.513178295,51.30%
143,2021,4 weeks,"Los Angeles, CA metro area",metro,4/26/2021,5/23/2021,2015,0.41502809,41.50%
150,2021,4 weeks,"Los Angeles, CA metro area",metro,5/3/2021,5/30/2021,1970,0.337406653,33.70%
157,2021,4 weeks,"Los Angeles, CA metro area",metro,5/10/2021,6/6/2021,1989,0.278277635,27.80%
164,2021,4 weeks,"Los Angeles, CA metro area",metro,5/17/2021,6/13/2021,1977,0.242614708,24.30%
171,2021,4 weeks,"Los Angeles, CA metro area",metro,5/24/2021,6/20/2021,1981,0.217578365,21.80%
178,2021,4 weeks,"Los Angeles, CA metro area",metro,5/31/2021,6/27/2021,2050,0.215174867,21.50%
