Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Miami, FL metro area",metro,12/9/2019,1/5/2020,551,-0.171428571,-17.10%
12,2020,4 weeks,"Miami, FL metro area",metro,12/16/2019,1/12/2020,626,-0.126917713,-12.70%
19,2020,4 weeks,"Miami, FL metro area",metro,12/23/2019,1/19/2020,716,-0.145584726,-14.60%
26,2020,4 weeks,"Miami, FL metro area",metro,12/30/2019,1/26/2020,877,-0.123,-12.30%
33,2020,4 weeks,"Miami, FL metro area",metro,1/6/2020,2/2/2020,1010,-0.070837167,-7.10%
40,2020,4 weeks,"Miami, FL metro area",metro,1/13/2020,2/9/2020,1006,-0.074517019,-7.50%
47,2020,4 weeks,"Miami, FL metro area",metro,1/20/2020,2/16/2020,1004,-0.043809524,-4.40%
54,2020,4 weeks,"Miami, FL metro area",metro,1/27/2020,2/23/2020,1003,-0.036503362,-3.70%
61,2020,4 weeks,"Miami, FL metro area",metro,2/3/2020,3/1/2020,986,-0.044573643,-4.50%
68,2020,4 weeks,"Miami, FL metro area",metro,2/10/2020,3/8/2020,976,-0.022044088,-2.20%
75,2020,4 weeks,"Miami, FL metro area",metro,2/17/2020,3/15/2020,952,-0.042253521,-4.20%
82,2020,4 weeks,"Miami, FL metro area",metro,2/24/2020,3/22/2020,880,-0.099283521,-9.90%
89,2020,4 weeks,"Miami, FL metro area",metro,3/2/2020,3/29/2020,771,-0.199376947,-19.90%
96,2020,4 weeks,"Miami, FL metro area",metro,3/9/2020,4/5/2020,640,-0.342240493,-34.20%
103,2020,4 weeks,"Miami, FL metro area",metro,3/16/2020,4/12/2020,508,-0.466386555,-46.60%
110,2020,4 weeks,"Miami, FL metro area",metro,3/23/2020,4/19/2020,452,-0.524710831,-52.50%
117,2020,4 weeks,"Miami, FL metro area",metro,3/30/2020,4/26/2020,444,-0.52715655,-52.70%
124,2020,4 weeks,"Miami, FL metro area",metro,4/6/2020,5/3/2020,482,-0.483940043,-48.40%
131,2020,4 weeks,"Miami, FL metro area",metro,4/13/2020,5/10/2020,551,-0.403033586,-40.30%
138,2020,4 weeks,"Miami, FL metro area",metro,4/20/2020,5/17/2020,623,-0.33368984,-33.40%
145,2020,4 weeks,"Miami, FL metro area",metro,4/27/2020,5/24/2020,695,-0.233737596,-23.40%
152,2020,4 weeks,"Miami, FL metro area",metro,5/4/2020,5/31/2020,717,-0.176808266,-17.70%
159,2020,4 weeks,"Miami, FL metro area",metro,5/11/2020,6/7/2020,777,-0.109965636,-11.00%
166,2020,4 weeks,"Miami, FL metro area",metro,5/18/2020,6/14/2020,810,-0.059233449,-5.90%
173,2020,4 weeks,"Miami, FL metro area",metro,5/25/2020,6/21/2020,831,-0.034843206,-3.50%
180,2020,4 weeks,"Miami, FL metro area",metro,6/1/2020,6/28/2020,867,0.011668611,1.20%
187,2020,4 weeks,"Miami, FL metro area",metro,6/8/2020,7/5/2020,852,0.050554871,5.10%
194,2020,4 weeks,"Miami, FL metro area",metro,6/15/2020,7/12/2020,856,0.074027604,7.40%
201,2020,4 weeks,"Miami, FL metro area",metro,6/22/2020,7/19/2020,857,0.048959608,4.90%
208,2020,4 weeks,"Miami, FL metro area",metro,6/29/2020,7/26/2020,858,0.056650246,5.70%
215,2020,4 weeks,"Miami, FL metro area",metro,7/6/2020,8/2/2020,859,0.004678363,0.50%
222,2020,4 weeks,"Miami, FL metro area",metro,7/13/2020,8/9/2020,850,0.010701546,1.10%
229,2020,4 weeks,"Miami, FL metro area",metro,7/20/2020,8/16/2020,846,0.03045067,3.00%
236,2020,4 weeks,"Miami, FL metro area",metro,7/27/2020,8/23/2020,854,0.007075472,0.70%
243,2020,4 weeks,"Miami, FL metro area",metro,8/3/2020,8/30/2020,855,0.047794118,4.80%
250,2020,4 weeks,"Miami, FL metro area",metro,8/10/2020,9/6/2020,883,0.11913815,11.90%
257,2020,4 weeks,"Miami, FL metro area",metro,8/17/2020,9/13/2020,885,0.06242497,6.20%
264,2020,4 weeks,"Miami, FL metro area",metro,8/24/2020,9/20/2020,895,0.06042654,6.00%
271,2020,4 weeks,"Miami, FL metro area",metro,8/31/2020,9/27/2020,902,0.045191194,4.50%
278,2020,4 weeks,"Miami, FL metro area",metro,9/7/2020,10/4/2020,885,-0.039087948,-3.90%
285,2020,4 weeks,"Miami, FL metro area",metro,9/14/2020,10/11/2020,898,-0.00443459,-0.40%
292,2020,4 weeks,"Miami, FL metro area",metro,9/21/2020,10/18/2020,888,-0.01986755,-2.00%
299,2020,4 weeks,"Miami, FL metro area",metro,9/28/2020,10/25/2020,873,-0.042763158,-4.30%
306,2020,4 weeks,"Miami, FL metro area",metro,10/5/2020,11/1/2020,864,-0.047409041,-4.70%
313,2020,4 weeks,"Miami, FL metro area",metro,10/12/2020,11/8/2020,844,-0.077595628,-7.80%
320,2020,4 weeks,"Miami, FL metro area",metro,10/19/2020,11/15/2020,836,-0.068004459,-6.80%
327,2020,4 weeks,"Miami, FL metro area",metro,10/26/2020,11/22/2020,847,-0.042937853,-4.30%
334,2020,4 weeks,"Miami, FL metro area",metro,11/2/2020,11/29/2020,779,-0.031094527,-3.10%
341,2020,4 weeks,"Miami, FL metro area",metro,11/9/2020,12/6/2020,802,0.020356234,2.00%
348,2020,4 weeks,"Miami, FL metro area",metro,11/16/2020,12/13/2020,794,0.061497326,6.10%
355,2020,4 weeks,"Miami, FL metro area",metro,11/23/2020,12/20/2020,775,0.096181047,9.60%
362,2020,4 weeks,"Miami, FL metro area",metro,11/30/2020,12/27/2020,737,0.155172414,15.50%
3,2021,4 weeks,"Miami, FL metro area",metro,12/7/2020,1/3/2021,616,0.117967332,11.80%
10,2021,4 weeks,"Miami, FL metro area",metro,12/14/2020,1/10/2021,630,0.006389776,0.60%
17,2021,4 weeks,"Miami, FL metro area",metro,12/21/2020,1/17/2021,675,-0.05726257,-5.70%
24,2021,4 weeks,"Miami, FL metro area",metro,12/28/2020,1/24/2021,816,-0.069555302,-7.00%
31,2021,4 weeks,"Miami, FL metro area",metro,1/4/2021,1/31/2021,952,-0.057425743,-5.70%
38,2021,4 weeks,"Miami, FL metro area",metro,1/11/2021,2/7/2021,1005,-0.000994036,-0.10%
45,2021,4 weeks,"Miami, FL metro area",metro,1/18/2021,2/14/2021,1006,0.001992032,0.20%
52,2021,4 weeks,"Miami, FL metro area",metro,1/25/2021,2/21/2021,992,-0.010967099,-1.10%
59,2021,4 weeks,"Miami, FL metro area",metro,2/1/2021,2/28/2021,986,0,0.00%
66,2021,4 weeks,"Miami, FL metro area",metro,2/8/2021,3/7/2021,994,0.018442623,1.80%
73,2021,4 weeks,"Miami, FL metro area",metro,2/15/2021,3/14/2021,1003,0.053571429,5.40%
80,2021,4 weeks,"Miami, FL metro area",metro,2/22/2021,3/21/2021,1041,0.182954545,18.30%
87,2021,4 weeks,"Miami, FL metro area",metro,3/1/2021,3/28/2021,1029,0.33463035,33.50%
94,2021,4 weeks,"Miami, FL metro area",metro,3/8/2021,4/4/2021,978,0.528125,52.80%
101,2021,4 weeks,"Miami, FL metro area",metro,3/15/2021,4/11/2021,982,0.933070866,93.30%
108,2021,4 weeks,"Miami, FL metro area",metro,3/22/2021,4/18/2021,954,1.110619469,111.10%
115,2021,4 weeks,"Miami, FL metro area",metro,3/29/2021,4/25/2021,971,1.186936937,118.70%
122,2021,4 weeks,"Miami, FL metro area",metro,4/5/2021,5/2/2021,992,1.058091286,105.80%
129,2021,4 weeks,"Miami, FL metro area",metro,4/12/2021,5/9/2021,998,0.811252269,81.10%
136,2021,4 weeks,"Miami, FL metro area",metro,4/19/2021,5/16/2021,1014,0.627608347,62.80%
143,2021,4 weeks,"Miami, FL metro area",metro,4/26/2021,5/23/2021,1015,0.460431655,46.00%
150,2021,4 weeks,"Miami, FL metro area",metro,5/3/2021,5/30/2021,1026,0.430962343,43.10%
157,2021,4 weeks,"Miami, FL metro area",metro,5/10/2021,6/6/2021,1020,0.312741313,31.30%
164,2021,4 weeks,"Miami, FL metro area",metro,5/17/2021,6/13/2021,1024,0.264197531,26.40%
171,2021,4 weeks,"Miami, FL metro area",metro,5/24/2021,6/20/2021,1021,0.228640193,22.90%
178,2021,4 weeks,"Miami, FL metro area",metro,5/31/2021,6/27/2021,1005,0.15916955,15.90%
185,2021,4 weeks,"Miami, FL metro area",metro,6/7/2021,7/4/2021,992,0.164319249,16.40%
192,2021,4 weeks,"Miami, FL metro area",metro,6/14/2021,7/11/2021,964,0.126168224,12.60%
199,2021,4 weeks,"Miami, FL metro area",metro,6/21/2021,7/18/2021,957,0.116686114,11.70%
206,2021,4 weeks,"Miami, FL metro area",metro,6/28/2021,7/25/2021,952,0.10955711,11.00%
