Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"New Orleans, LA metro area",metro,12/9/2019,1/5/2020,185,0.051136364,5.10%
12,2020,4 weeks,"New Orleans, LA metro area",metro,12/16/2019,1/12/2020,211,0.009569378,1.00%
19,2020,4 weeks,"New Orleans, LA metro area",metro,12/23/2019,1/19/2020,230,-0.090909091,-9.10%
26,2020,4 weeks,"New Orleans, LA metro area",metro,12/30/2019,1/26/2020,297,-0.060126582,-6.00%
33,2020,4 weeks,"New Orleans, LA metro area",metro,1/6/2020,2/2/2020,340,-0.014492754,-1.40%
40,2020,4 weeks,"New Orleans, LA metro area",metro,1/13/2020,2/9/2020,343,-0.002906977,-0.30%
47,2020,4 weeks,"New Orleans, LA metro area",metro,1/20/2020,2/16/2020,354,0.035087719,3.50%
54,2020,4 weeks,"New Orleans, LA metro area",metro,1/27/2020,2/23/2020,338,0.018072289,1.80%
61,2020,4 weeks,"New Orleans, LA metro area",metro,2/3/2020,3/1/2020,315,-0.039634146,-4.00%
68,2020,4 weeks,"New Orleans, LA metro area",metro,2/10/2020,3/8/2020,346,0.098412698,9.80%
75,2020,4 weeks,"New Orleans, LA metro area",metro,2/17/2020,3/15/2020,377,0.163580247,16.40%
82,2020,4 weeks,"New Orleans, LA metro area",metro,2/24/2020,3/22/2020,404,0.191740413,19.20%
89,2020,4 weeks,"New Orleans, LA metro area",metro,3/2/2020,3/29/2020,401,0.063660477,6.40%
96,2020,4 weeks,"New Orleans, LA metro area",metro,3/9/2020,4/5/2020,347,-0.169856459,-17.00%
103,2020,4 weeks,"New Orleans, LA metro area",metro,3/16/2020,4/12/2020,282,-0.344186047,-34.40%
110,2020,4 weeks,"New Orleans, LA metro area",metro,3/23/2020,4/19/2020,245,-0.426229508,-42.60%
117,2020,4 weeks,"New Orleans, LA metro area",metro,3/30/2020,4/26/2020,249,-0.409952607,-41.00%
124,2020,4 weeks,"New Orleans, LA metro area",metro,4/6/2020,5/3/2020,265,-0.367541766,-36.80%
131,2020,4 weeks,"New Orleans, LA metro area",metro,4/13/2020,5/10/2020,296,-0.27804878,-27.80%
138,2020,4 weeks,"New Orleans, LA metro area",metro,4/20/2020,5/17/2020,322,-0.233333333,-23.30%
145,2020,4 weeks,"New Orleans, LA metro area",metro,4/27/2020,5/24/2020,352,-0.151807229,-15.20%
152,2020,4 weeks,"New Orleans, LA metro area",metro,5/4/2020,5/31/2020,369,-0.088888889,-8.90%
159,2020,4 weeks,"New Orleans, LA metro area",metro,5/11/2020,6/7/2020,386,-0.060827251,-6.10%
166,2020,4 weeks,"New Orleans, LA metro area",metro,5/18/2020,6/14/2020,387,-0.056097561,-5.60%
173,2020,4 weeks,"New Orleans, LA metro area",metro,5/25/2020,6/21/2020,384,-0.051851852,-5.20%
180,2020,4 weeks,"New Orleans, LA metro area",metro,6/1/2020,6/28/2020,380,-0.054726368,-5.50%
187,2020,4 weeks,"New Orleans, LA metro area",metro,6/8/2020,7/5/2020,360,-0.024390244,-2.40%
194,2020,4 weeks,"New Orleans, LA metro area",metro,6/15/2020,7/12/2020,374,0.056497175,5.60%
201,2020,4 weeks,"New Orleans, LA metro area",metro,6/22/2020,7/19/2020,375,0.062322946,6.20%
208,2020,4 weeks,"New Orleans, LA metro area",metro,6/29/2020,7/26/2020,387,0.09631728,9.60%
215,2020,4 weeks,"New Orleans, LA metro area",metro,7/6/2020,8/2/2020,391,0.031662269,3.20%
222,2020,4 weeks,"New Orleans, LA metro area",metro,7/13/2020,8/9/2020,388,0.045822102,4.60%
229,2020,4 weeks,"New Orleans, LA metro area",metro,7/20/2020,8/16/2020,385,0.075418994,7.50%
236,2020,4 weeks,"New Orleans, LA metro area",metro,7/27/2020,8/23/2020,379,0.11143695,11.10%
243,2020,4 weeks,"New Orleans, LA metro area",metro,8/3/2020,8/30/2020,368,0.128834356,12.90%
250,2020,4 weeks,"New Orleans, LA metro area",metro,8/10/2020,9/6/2020,369,0.088495575,8.80%
257,2020,4 weeks,"New Orleans, LA metro area",metro,8/17/2020,9/13/2020,363,0.025423729,2.50%
264,2020,4 weeks,"New Orleans, LA metro area",metro,8/24/2020,9/20/2020,343,-0.044568245,-4.50%
271,2020,4 weeks,"New Orleans, LA metro area",metro,8/31/2020,9/27/2020,344,-0.025495751,-2.50%
278,2020,4 weeks,"New Orleans, LA metro area",metro,9/7/2020,10/4/2020,336,-0.056179775,-5.60%
285,2020,4 weeks,"New Orleans, LA metro area",metro,9/14/2020,10/11/2020,336,-0.01754386,-1.80%
292,2020,4 weeks,"New Orleans, LA metro area",metro,9/21/2020,10/18/2020,351,0.044642857,4.50%
299,2020,4 weeks,"New Orleans, LA metro area",metro,9/28/2020,10/25/2020,376,0.12238806,12.20%
306,2020,4 weeks,"New Orleans, LA metro area",metro,10/5/2020,11/1/2020,343,0.099358974,9.90%
313,2020,4 weeks,"New Orleans, LA metro area",metro,10/12/2020,11/8/2020,340,0.107491857,10.70%
320,2020,4 weeks,"New Orleans, LA metro area",metro,10/19/2020,11/15/2020,336,0.090909091,9.10%
327,2020,4 weeks,"New Orleans, LA metro area",metro,10/26/2020,11/22/2020,319,0.052805281,5.30%
334,2020,4 weeks,"New Orleans, LA metro area",metro,11/2/2020,11/29/2020,315,0.117021277,11.70%
341,2020,4 weeks,"New Orleans, LA metro area",metro,11/9/2020,12/6/2020,299,0.095238095,9.50%
348,2020,4 weeks,"New Orleans, LA metro area",metro,11/16/2020,12/13/2020,282,0.128,12.80%
355,2020,4 weeks,"New Orleans, LA metro area",metro,11/23/2020,12/20/2020,264,0.13304721,13.30%
362,2020,4 weeks,"New Orleans, LA metro area",metro,11/30/2020,12/27/2020,249,0.202898551,20.30%
3,2021,4 weeks,"New Orleans, LA metro area",metro,12/7/2020,1/3/2021,228,0.232432432,23.20%
10,2021,4 weeks,"New Orleans, LA metro area",metro,12/14/2020,1/10/2021,237,0.123222749,12.30%
17,2021,4 weeks,"New Orleans, LA metro area",metro,12/21/2020,1/17/2021,259,0.126086957,12.60%
24,2021,4 weeks,"New Orleans, LA metro area",metro,12/28/2020,1/24/2021,306,0.03030303,3.00%
31,2021,4 weeks,"New Orleans, LA metro area",metro,1/4/2021,1/31/2021,342,0.005882353,0.60%
38,2021,4 weeks,"New Orleans, LA metro area",metro,1/11/2021,2/7/2021,360,0.049562682,5.00%
45,2021,4 weeks,"New Orleans, LA metro area",metro,1/18/2021,2/14/2021,366,0.033898305,3.40%
52,2021,4 weeks,"New Orleans, LA metro area",metro,1/25/2021,2/21/2021,350,0.035502959,3.60%
59,2021,4 weeks,"New Orleans, LA metro area",metro,2/1/2021,2/28/2021,353,0.120634921,12.10%
66,2021,4 weeks,"New Orleans, LA metro area",metro,2/8/2021,3/7/2021,352,0.01734104,1.70%
73,2021,4 weeks,"New Orleans, LA metro area",metro,2/15/2021,3/14/2021,368,-0.023872679,-2.40%
80,2021,4 weeks,"New Orleans, LA metro area",metro,2/22/2021,3/21/2021,399,-0.012376238,-1.20%
87,2021,4 weeks,"New Orleans, LA metro area",metro,3/1/2021,3/28/2021,408,0.017456359,1.70%
94,2021,4 weeks,"New Orleans, LA metro area",metro,3/8/2021,4/4/2021,406,0.170028818,17.00%
101,2021,4 weeks,"New Orleans, LA metro area",metro,3/15/2021,4/11/2021,406,0.439716312,44.00%
108,2021,4 weeks,"New Orleans, LA metro area",metro,3/22/2021,4/18/2021,411,0.67755102,67.80%
115,2021,4 weeks,"New Orleans, LA metro area",metro,3/29/2021,4/25/2021,424,0.702811245,70.30%
122,2021,4 weeks,"New Orleans, LA metro area",metro,4/5/2021,5/2/2021,448,0.690566038,69.10%
129,2021,4 weeks,"New Orleans, LA metro area",metro,4/12/2021,5/9/2021,451,0.523648649,52.40%
136,2021,4 weeks,"New Orleans, LA metro area",metro,4/19/2021,5/16/2021,450,0.397515528,39.80%
143,2021,4 weeks,"New Orleans, LA metro area",metro,4/26/2021,5/23/2021,444,0.261363636,26.10%
150,2021,4 weeks,"New Orleans, LA metro area",metro,5/3/2021,5/30/2021,438,0.18699187,18.70%
157,2021,4 weeks,"New Orleans, LA metro area",metro,5/10/2021,6/6/2021,431,0.116580311,11.70%
164,2021,4 weeks,"New Orleans, LA metro area",metro,5/17/2021,6/13/2021,442,0.142118863,14.20%
171,2021,4 weeks,"New Orleans, LA metro area",metro,5/24/2021,6/20/2021,436,0.135416667,13.50%
178,2021,4 weeks,"New Orleans, LA metro area",metro,5/31/2021,6/27/2021,437,0.15,15.00%
185,2021,4 weeks,"New Orleans, LA metro area",metro,6/7/2021,7/4/2021,428,0.188888889,18.90%
192,2021,4 weeks,"New Orleans, LA metro area",metro,6/14/2021,7/11/2021,421,0.125668449,12.60%
199,2021,4 weeks,"New Orleans, LA metro area",metro,6/21/2021,7/18/2021,439,0.170666667,17.10%
206,2021,4 weeks,"New Orleans, LA metro area",metro,6/28/2021,7/25/2021,439,0.134366925,13.40%
213,2021,4 weeks,"New Orleans, LA metro area",metro,7/5/2021,8/1/2021,450,0.150895141,15.10%
220,2021,4 weeks,"New Orleans, LA metro area",metro,7/12/2021,8/8/2021,444,0.144329897,14.40%
227,2021,4 weeks,"New Orleans, LA metro area",metro,7/19/2021,8/15/2021,432,0.122077922,12.20%
234,2021,4 weeks,"New Orleans, LA metro area",metro,7/26/2021,8/22/2021,409,0.079155673,7.90%
241,2021,4 weeks,"New Orleans, LA metro area",metro,8/2/2021,8/29/2021,374,0.016304348,1.60%
248,2021,4 weeks,"New Orleans, LA metro area",metro,8/9/2021,9/5/2021,281,-0.238482385,-23.80%
255,2021,4 weeks,"New Orleans, LA metro area",metro,8/16/2021,9/12/2021,202,-0.443526171,-44.40%
262,2021,4 weeks,"New Orleans, LA metro area",metro,8/23/2021,9/19/2021,163,-0.524781341,-52.50%
269,2021,4 weeks,"New Orleans, LA metro area",metro,8/30/2021,9/26/2021,157,-0.543604651,-54.40%
276,2021,4 weeks,"New Orleans, LA metro area",metro,9/6/2021,10/3/2021,227,-0.324404762,-32.40%
283,2021,4 weeks,"New Orleans, LA metro area",metro,9/13/2021,10/10/2021,280,-0.166666667,-16.70%
290,2021,4 weeks,"New Orleans, LA metro area",metro,9/20/2021,10/17/2021,307,-0.125356125,-12.50%
297,2021,4 weeks,"New Orleans, LA metro area",metro,9/27/2021,10/24/2021,317,-0.156914894,-15.70%
304,2021,4 weeks,"New Orleans, LA metro area",metro,10/4/2021,10/31/2021,315,-0.081632653,-8.20%
311,2021,4 weeks,"New Orleans, LA metro area",metro,10/11/2021,11/7/2021,314,-0.076470588,-7.60%
318,2021,4 weeks,"New Orleans, LA metro area",metro,10/18/2021,11/14/2021,314,-0.06547619,-6.50%
325,2021,4 weeks,"New Orleans, LA metro area",metro,10/25/2021,11/21/2021,310,-0.028213166,-2.80%
332,2021,4 weeks,"New Orleans, LA metro area",metro,11/1/2021,11/28/2021,273,-0.133333333,-13.30%
339,2021,4 weeks,"New Orleans, LA metro area",metro,11/8/2021,12/5/2021,278,-0.070234114,-7.00%
346,2021,4 weeks,"New Orleans, LA metro area",metro,11/15/2021,12/12/2021,264,-0.063829787,-6.40%
353,2021,4 weeks,"New Orleans, LA metro area",metro,11/22/2021,12/19/2021,254,-0.037878788,-3.80%
360,2021,4 weeks,"New Orleans, LA metro area",metro,11/29/2021,12/26/2021,254,0.020080321,2.00%
2,2022,4 weeks,"New Orleans, LA metro area",metro,12/6/2021,1/2/2022,217,-0.048245614,-4.80%
9,2022,4 weeks,"New Orleans, LA metro area",metro,12/13/2021,1/9/2022,233,-0.016877637,-1.70%
16,2022,4 weeks,"New Orleans, LA metro area",metro,12/20/2021,1/16/2022,248,-0.042471042,-4.20%
23,2022,4 weeks,"New Orleans, LA metro area",metro,12/27/2021,1/23/2022,288,-0.058823529,-5.90%
30,2022,4 weeks,"New Orleans, LA metro area",metro,1/3/2022,1/30/2022,325,-0.049707602,-5.00%
37,2022,4 weeks,"New Orleans, LA metro area",metro,1/10/2022,2/6/2022,328,-0.088888889,-8.90%
44,2022,4 weeks,"New Orleans, LA metro area",metro,1/17/2022,2/13/2022,345,-0.057377049,-5.70%
51,2022,4 weeks,"New Orleans, LA metro area",metro,1/24/2022,2/20/2022,365,0.042857143,4.30%
58,2022,4 weeks,"New Orleans, LA metro area",metro,1/31/2022,2/27/2022,360,0.019830028,2.00%
65,2022,4 weeks,"New Orleans, LA metro area",metro,2/7/2022,3/6/2022,363,0.03125,3.10%
72,2022,4 weeks,"New Orleans, LA metro area",metro,2/14/2022,3/13/2022,370,0.005434783,0.50%
79,2022,4 weeks,"New Orleans, LA metro area",metro,2/21/2022,3/20/2022,391,-0.020050125,-2.00%
86,2022,4 weeks,"New Orleans, LA metro area",metro,2/28/2022,3/27/2022,418,0.024509804,2.50%
93,2022,4 weeks,"New Orleans, LA metro area",metro,3/7/2022,4/3/2022,451,0.110837438,11.10%
100,2022,4 weeks,"New Orleans, LA metro area",metro,3/14/2022,4/10/2022,471,0.160098522,16.00%
107,2022,4 weeks,"New Orleans, LA metro area",metro,3/21/2022,4/17/2022,445,0.082725061,8.30%
114,2022,4 weeks,"New Orleans, LA metro area",metro,3/28/2022,4/24/2022,463,0.091981132,9.20%
121,2022,4 weeks,"New Orleans, LA metro area",metro,4/4/2022,5/1/2022,454,0.013392857,1.30%
128,2022,4 weeks,"New Orleans, LA metro area",metro,4/11/2022,5/8/2022,444,-0.015521064,-1.60%
135,2022,4 weeks,"New Orleans, LA metro area",metro,4/18/2022,5/15/2022,472,0.048888889,4.90%
142,2022,4 weeks,"New Orleans, LA metro area",metro,4/25/2022,5/22/2022,462,0.040540541,4.10%
149,2022,4 weeks,"New Orleans, LA metro area",metro,5/2/2022,5/29/2022,455,0.038812785,3.90%
156,2022,4 weeks,"New Orleans, LA metro area",metro,5/9/2022,6/5/2022,444,0.030162413,3.00%
163,2022,4 weeks,"New Orleans, LA metro area",metro,5/16/2022,6/12/2022,432,-0.022624434,-2.30%
170,2022,4 weeks,"New Orleans, LA metro area",metro,5/23/2022,6/19/2022,441,0.01146789,1.10%
177,2022,4 weeks,"New Orleans, LA metro area",metro,5/30/2022,6/26/2022,455,0.041189931,4.10%
184,2022,4 weeks,"New Orleans, LA metro area",metro,6/6/2022,7/3/2022,459,0.072429907,7.20%
191,2022,4 weeks,"New Orleans, LA metro area",metro,6/13/2022,7/10/2022,437,0.038004751,3.80%
198,2022,4 weeks,"New Orleans, LA metro area",metro,6/20/2022,7/17/2022,419,-0.045558087,-4.60%
205,2022,4 weeks,"New Orleans, LA metro area",metro,6/27/2022,7/24/2022,399,-0.091116173,-9.10%
212,2022,4 weeks,"New Orleans, LA metro area",metro,7/4/2022,7/31/2022,382,-0.151111111,-15.10%
219,2022,4 weeks,"New Orleans, LA metro area",metro,7/11/2022,8/7/2022,387,-0.128378378,-12.80%
226,2022,4 weeks,"New Orleans, LA metro area",metro,7/18/2022,8/14/2022,384,-0.111111111,-11.10%
233,2022,4 weeks,"New Orleans, LA metro area",metro,7/25/2022,8/21/2022,367,-0.102689487,-10.30%
240,2022,4 weeks,"New Orleans, LA metro area",metro,8/1/2022,8/28/2022,365,-0.024064171,-2.40%
247,2022,4 weeks,"New Orleans, LA metro area",metro,8/8/2022,9/4/2022,357,0.270462633,27.00%
254,2022,4 weeks,"New Orleans, LA metro area",metro,8/15/2022,9/11/2022,337,0.668316832,66.80%
261,2022,4 weeks,"New Orleans, LA metro area",metro,8/22/2022,9/18/2022,344,1.110429448,111.00%
268,2022,4 weeks,"New Orleans, LA metro area",metro,8/29/2022,9/25/2022,343,1.184713376,118.50%
275,2022,4 weeks,"New Orleans, LA metro area",metro,9/5/2022,10/2/2022,337,0.484581498,48.50%
282,2022,4 weeks,"New Orleans, LA metro area",metro,9/12/2022,10/9/2022,347,0.239285714,23.90%
289,2022,4 weeks,"New Orleans, LA metro area",metro,9/19/2022,10/16/2022,331,0.078175896,7.80%
296,2022,4 weeks,"New Orleans, LA metro area",metro,9/26/2022,10/23/2022,334,0.05362776,5.40%
303,2022,4 weeks,"New Orleans, LA metro area",metro,10/3/2022,10/30/2022,331,0.050793651,5.10%
310,2022,4 weeks,"New Orleans, LA metro area",metro,10/10/2022,11/6/2022,307,-0.022292994,-2.20%
317,2022,4 weeks,"New Orleans, LA metro area",metro,10/17/2022,11/13/2022,302,-0.038216561,-3.80%
324,2022,4 weeks,"New Orleans, LA metro area",metro,10/24/2022,11/20/2022,276,-0.109677419,-11.00%
331,2022,4 weeks,"New Orleans, LA metro area",metro,10/31/2022,11/27/2022,240,-0.120879121,-12.10%
338,2022,4 weeks,"New Orleans, LA metro area",metro,11/7/2022,12/4/2022,240,-0.136690647,-13.70%
345,2022,4 weeks,"New Orleans, LA metro area",metro,11/14/2022,12/11/2022,222,-0.159090909,-15.90%
352,2022,4 weeks,"New Orleans, LA metro area",metro,11/21/2022,12/18/2022,209,-0.177165354,-17.70%
359,2022,4 weeks,"New Orleans, LA metro area",metro,11/28/2022,12/25/2022,197,-0.224409449,-22.40%
1,2023,4 weeks,"New Orleans, LA metro area",metro,12/5/2022,1/1/2023,167,-0.230414747,-23.00%
8,2023,4 weeks,"New Orleans, LA metro area",metro,12/12/2022,1/8/2023,167,-0.283261803,-28.30%
15,2023,4 weeks,"New Orleans, LA metro area",metro,12/19/2022,1/15/2023,194,-0.217741935,-21.80%
22,2023,4 weeks,"New Orleans, LA metro area",metro,12/26/2022,1/22/2023,250,-0.131944444,-13.20%
