Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Orlando, FL metro area",metro,12/9/2019,1/5/2020,679,0.00295421,0.30%
12,2020,4 weeks,"Orlando, FL metro area",metro,12/16/2019,1/12/2020,720,-0.048877147,-4.90%
19,2020,4 weeks,"Orlando, FL metro area",metro,12/23/2019,1/19/2020,782,-0.081081081,-8.10%
26,2020,4 weeks,"Orlando, FL metro area",metro,12/30/2019,1/26/2020,900,-0.095477387,-9.50%
33,2020,4 weeks,"Orlando, FL metro area",metro,1/6/2020,2/2/2020,1007,-0.069316081,-6.90%
40,2020,4 weeks,"Orlando, FL metro area",metro,1/13/2020,2/9/2020,1032,-0.047091413,-4.70%
47,2020,4 weeks,"Orlando, FL metro area",metro,1/20/2020,2/16/2020,1042,-0.046660567,-4.70%
54,2020,4 weeks,"Orlando, FL metro area",metro,1/27/2020,2/23/2020,1075,-0.028906956,-2.90%
61,2020,4 weeks,"Orlando, FL metro area",metro,2/3/2020,3/1/2020,1106,-0.000903342,-0.10%
68,2020,4 weeks,"Orlando, FL metro area",metro,2/10/2020,3/8/2020,1139,0.012444444,1.20%
75,2020,4 weeks,"Orlando, FL metro area",metro,2/17/2020,3/15/2020,1171,0.027192982,2.70%
82,2020,4 weeks,"Orlando, FL metro area",metro,2/24/2020,3/22/2020,1190,0.042031524,4.20%
89,2020,4 weeks,"Orlando, FL metro area",metro,3/2/2020,3/29/2020,1146,-0.021349274,-2.10%
96,2020,4 weeks,"Orlando, FL metro area",metro,3/9/2020,4/5/2020,1056,-0.108108108,-10.80%
103,2020,4 weeks,"Orlando, FL metro area",metro,3/16/2020,4/12/2020,951,-0.200168209,-20.00%
110,2020,4 weeks,"Orlando, FL metro area",metro,3/23/2020,4/19/2020,856,-0.289626556,-29.00%
117,2020,4 weeks,"Orlando, FL metro area",metro,3/30/2020,4/26/2020,791,-0.330795262,-33.10%
124,2020,4 weeks,"Orlando, FL metro area",metro,4/6/2020,5/3/2020,805,-0.334160463,-33.40%
131,2020,4 weeks,"Orlando, FL metro area",metro,4/13/2020,5/10/2020,874,-0.280065898,-28.00%
138,2020,4 weeks,"Orlando, FL metro area",metro,4/20/2020,5/17/2020,950,-0.227013832,-22.70%
145,2020,4 weeks,"Orlando, FL metro area",metro,4/27/2020,5/24/2020,1017,-0.1864,-18.60%
152,2020,4 weeks,"Orlando, FL metro area",metro,5/4/2020,5/31/2020,1014,-0.152882206,-15.30%
159,2020,4 weeks,"Orlando, FL metro area",metro,5/11/2020,6/7/2020,1036,-0.130142737,-13.00%
166,2020,4 weeks,"Orlando, FL metro area",metro,5/18/2020,6/14/2020,1027,-0.148424544,-14.80%
173,2020,4 weeks,"Orlando, FL metro area",metro,5/25/2020,6/21/2020,1050,-0.117647059,-11.80%
180,2020,4 weeks,"Orlando, FL metro area",metro,6/1/2020,6/28/2020,1107,-0.079800499,-8.00%
187,2020,4 weeks,"Orlando, FL metro area",metro,6/8/2020,7/5/2020,1092,-0.038732394,-3.90%
194,2020,4 weeks,"Orlando, FL metro area",metro,6/15/2020,7/12/2020,1129,0.021719457,2.20%
201,2020,4 weeks,"Orlando, FL metro area",metro,6/22/2020,7/19/2020,1139,0.038286235,3.80%
208,2020,4 weeks,"Orlando, FL metro area",metro,6/29/2020,7/26/2020,1131,0.059981256,6.00%
215,2020,4 weeks,"Orlando, FL metro area",metro,7/6/2020,8/2/2020,1144,0.040946315,4.10%
222,2020,4 weeks,"Orlando, FL metro area",metro,7/13/2020,8/9/2020,1131,0.059981256,6.00%
229,2020,4 weeks,"Orlando, FL metro area",metro,7/20/2020,8/16/2020,1125,0.083815029,8.40%
236,2020,4 weeks,"Orlando, FL metro area",metro,7/27/2020,8/23/2020,1125,0.082771896,8.30%
243,2020,4 weeks,"Orlando, FL metro area",metro,8/3/2020,8/30/2020,1126,0.136226034,13.60%
250,2020,4 weeks,"Orlando, FL metro area",metro,8/10/2020,9/6/2020,1136,0.221505376,22.20%
257,2020,4 weeks,"Orlando, FL metro area",metro,8/17/2020,9/13/2020,1113,0.179025424,17.90%
264,2020,4 weeks,"Orlando, FL metro area",metro,8/24/2020,9/20/2020,1118,0.164583333,16.50%
271,2020,4 weeks,"Orlando, FL metro area",metro,8/31/2020,9/27/2020,1105,0.096230159,9.60%
278,2020,4 weeks,"Orlando, FL metro area",metro,9/7/2020,10/4/2020,1090,-0.014466546,-1.40%
285,2020,4 weeks,"Orlando, FL metro area",metro,9/14/2020,10/11/2020,1117,0.021957914,2.20%
292,2020,4 weeks,"Orlando, FL metro area",metro,9/21/2020,10/18/2020,1116,0.051837889,5.20%
299,2020,4 weeks,"Orlando, FL metro area",metro,9/28/2020,10/25/2020,1101,0.043601896,4.40%
306,2020,4 weeks,"Orlando, FL metro area",metro,10/5/2020,11/1/2020,1094,0.061105723,6.10%
313,2020,4 weeks,"Orlando, FL metro area",metro,10/12/2020,11/8/2020,1062,0.045275591,4.50%
320,2020,4 weeks,"Orlando, FL metro area",metro,10/19/2020,11/15/2020,1025,0.003917728,0.40%
327,2020,4 weeks,"Orlando, FL metro area",metro,10/26/2020,11/22/2020,1030,0.047812818,4.80%
334,2020,4 weeks,"Orlando, FL metro area",metro,11/2/2020,11/29/2020,919,0.049086758,4.90%
341,2020,4 weeks,"Orlando, FL metro area",metro,11/9/2020,12/6/2020,911,0.069248826,6.90%
348,2020,4 weeks,"Orlando, FL metro area",metro,11/16/2020,12/13/2020,876,0.086848635,8.70%
355,2020,4 weeks,"Orlando, FL metro area",metro,11/23/2020,12/20/2020,836,0.073170732,7.30%
362,2020,4 weeks,"Orlando, FL metro area",metro,11/30/2020,12/27/2020,804,0.09686221,9.70%
3,2021,4 weeks,"Orlando, FL metro area",metro,12/7/2020,1/3/2021,726,0.06921944,6.90%
10,2021,4 weeks,"Orlando, FL metro area",metro,12/14/2020,1/10/2021,748,0.038888889,3.90%
17,2021,4 weeks,"Orlando, FL metro area",metro,12/21/2020,1/17/2021,791,0.011508951,1.20%
24,2021,4 weeks,"Orlando, FL metro area",metro,12/28/2020,1/24/2021,903,0.003333333,0.30%
31,2021,4 weeks,"Orlando, FL metro area",metro,1/4/2021,1/31/2021,985,-0.021847071,-2.20%
38,2021,4 weeks,"Orlando, FL metro area",metro,1/11/2021,2/7/2021,1017,-0.014534884,-1.50%
45,2021,4 weeks,"Orlando, FL metro area",metro,1/18/2021,2/14/2021,1007,-0.033589251,-3.40%
52,2021,4 weeks,"Orlando, FL metro area",metro,1/25/2021,2/21/2021,1007,-0.063255814,-6.30%
59,2021,4 weeks,"Orlando, FL metro area",metro,2/1/2021,2/28/2021,1043,-0.056962025,-5.70%
66,2021,4 weeks,"Orlando, FL metro area",metro,2/8/2021,3/7/2021,1078,-0.053555751,-5.40%
73,2021,4 weeks,"Orlando, FL metro area",metro,2/15/2021,3/14/2021,1106,-0.055508113,-5.60%
80,2021,4 weeks,"Orlando, FL metro area",metro,2/22/2021,3/21/2021,1142,-0.040336134,-4.00%
87,2021,4 weeks,"Orlando, FL metro area",metro,3/1/2021,3/28/2021,1136,-0.008726003,-0.90%
94,2021,4 weeks,"Orlando, FL metro area",metro,3/8/2021,4/4/2021,1124,0.064393939,6.40%
101,2021,4 weeks,"Orlando, FL metro area",metro,3/15/2021,4/11/2021,1133,0.191377497,19.10%
108,2021,4 weeks,"Orlando, FL metro area",metro,3/22/2021,4/18/2021,1157,0.351635514,35.20%
115,2021,4 weeks,"Orlando, FL metro area",metro,3/29/2021,4/25/2021,1179,0.490518331,49.10%
122,2021,4 weeks,"Orlando, FL metro area",metro,4/5/2021,5/2/2021,1198,0.488198758,48.80%
129,2021,4 weeks,"Orlando, FL metro area",metro,4/12/2021,5/9/2021,1220,0.395881007,39.60%
136,2021,4 weeks,"Orlando, FL metro area",metro,4/19/2021,5/16/2021,1225,0.289473684,28.90%
143,2021,4 weeks,"Orlando, FL metro area",metro,4/26/2021,5/23/2021,1236,0.215339233,21.50%
150,2021,4 weeks,"Orlando, FL metro area",metro,5/3/2021,5/30/2021,1244,0.226824458,22.70%
157,2021,4 weeks,"Orlando, FL metro area",metro,5/10/2021,6/6/2021,1256,0.212355212,21.20%
164,2021,4 weeks,"Orlando, FL metro area",metro,5/17/2021,6/13/2021,1266,0.23271665,23.30%
171,2021,4 weeks,"Orlando, FL metro area",metro,5/24/2021,6/20/2021,1261,0.200952381,20.10%
178,2021,4 weeks,"Orlando, FL metro area",metro,5/31/2021,6/27/2021,1244,0.123757904,12.40%
185,2021,4 weeks,"Orlando, FL metro area",metro,6/7/2021,7/4/2021,1243,0.138278388,13.80%
192,2021,4 weeks,"Orlando, FL metro area",metro,6/14/2021,7/11/2021,1224,0.084145261,8.40%
199,2021,4 weeks,"Orlando, FL metro area",metro,6/21/2021,7/18/2021,1238,0.086918349,8.70%
206,2021,4 weeks,"Orlando, FL metro area",metro,6/28/2021,7/25/2021,1238,0.094606543,9.50%
213,2021,4 weeks,"Orlando, FL metro area",metro,7/5/2021,8/1/2021,1243,0.086538462,8.70%
220,2021,4 weeks,"Orlando, FL metro area",metro,7/12/2021,8/8/2021,1244,0.099911583,10.00%
227,2021,4 weeks,"Orlando, FL metro area",metro,7/19/2021,8/15/2021,1226,0.089777778,9.00%
234,2021,4 weeks,"Orlando, FL metro area",metro,7/26/2021,8/22/2021,1222,0.086222222,8.60%
241,2021,4 weeks,"Orlando, FL metro area",metro,8/2/2021,8/29/2021,1200,0.065719361,6.60%
248,2021,4 weeks,"Orlando, FL metro area",metro,8/9/2021,9/5/2021,1184,0.042253521,4.20%
255,2021,4 weeks,"Orlando, FL metro area",metro,8/16/2021,9/12/2021,1158,0.040431267,4.00%
262,2021,4 weeks,"Orlando, FL metro area",metro,8/23/2021,9/19/2021,1146,0.025044723,2.50%
269,2021,4 weeks,"Orlando, FL metro area",metro,8/30/2021,9/26/2021,1120,0.013574661,1.40%
276,2021,4 weeks,"Orlando, FL metro area",metro,9/6/2021,10/3/2021,1121,0.028440367,2.80%
283,2021,4 weeks,"Orlando, FL metro area",metro,9/13/2021,10/10/2021,1119,0.00179051,0.20%
290,2021,4 weeks,"Orlando, FL metro area",metro,9/20/2021,10/17/2021,1105,-0.009856631,-1.00%
297,2021,4 weeks,"Orlando, FL metro area",metro,9/27/2021,10/24/2021,1090,-0.009990917,-1.00%
304,2021,4 weeks,"Orlando, FL metro area",metro,10/4/2021,10/31/2021,1096,0.001828154,0.20%
311,2021,4 weeks,"Orlando, FL metro area",metro,10/11/2021,11/7/2021,1069,0.006591337,0.70%
318,2021,4 weeks,"Orlando, FL metro area",metro,10/18/2021,11/14/2021,1060,0.034146341,3.40%
325,2021,4 weeks,"Orlando, FL metro area",metro,10/25/2021,11/21/2021,1039,0.008737864,0.90%
332,2021,4 weeks,"Orlando, FL metro area",metro,11/1/2021,11/28/2021,920,0.001088139,0.10%
339,2021,4 weeks,"Orlando, FL metro area",metro,11/8/2021,12/5/2021,915,0.004390779,0.40%
346,2021,4 weeks,"Orlando, FL metro area",metro,11/15/2021,12/12/2021,887,0.012557078,1.30%
353,2021,4 weeks,"Orlando, FL metro area",metro,11/22/2021,12/19/2021,883,0.056220096,5.60%
360,2021,4 weeks,"Orlando, FL metro area",metro,11/29/2021,12/26/2021,842,0.047263682,4.70%
2,2022,4 weeks,"Orlando, FL metro area",metro,12/6/2021,1/2/2022,746,0.027548209,2.80%
9,2022,4 weeks,"Orlando, FL metro area",metro,12/13/2021,1/9/2022,740,-0.010695187,-1.10%
16,2022,4 weeks,"Orlando, FL metro area",metro,12/20/2021,1/16/2022,765,-0.032869785,-3.30%
23,2022,4 weeks,"Orlando, FL metro area",metro,12/27/2021,1/23/2022,886,-0.018826135,-1.90%
30,2022,4 weeks,"Orlando, FL metro area",metro,1/3/2022,1/30/2022,985,0,0.00%
37,2022,4 weeks,"Orlando, FL metro area",metro,1/10/2022,2/6/2022,1042,0.024582104,2.50%
44,2022,4 weeks,"Orlando, FL metro area",metro,1/17/2022,2/13/2022,1048,0.040714995,4.10%
51,2022,4 weeks,"Orlando, FL metro area",metro,1/24/2022,2/20/2022,1088,0.080436941,8.00%
58,2022,4 weeks,"Orlando, FL metro area",metro,1/31/2022,2/27/2022,1113,0.067114094,6.70%
65,2022,4 weeks,"Orlando, FL metro area",metro,2/7/2022,3/6/2022,1137,0.054730983,5.50%
72,2022,4 weeks,"Orlando, FL metro area",metro,2/14/2022,3/13/2022,1161,0.049728752,5.00%
79,2022,4 weeks,"Orlando, FL metro area",metro,2/21/2022,3/20/2022,1145,0.00262697,0.30%
86,2022,4 weeks,"Orlando, FL metro area",metro,2/28/2022,3/27/2022,1164,0.024647887,2.50%
93,2022,4 weeks,"Orlando, FL metro area",metro,3/7/2022,4/3/2022,1189,0.057829181,5.80%
100,2022,4 weeks,"Orlando, FL metro area",metro,3/14/2022,4/10/2022,1179,0.040600177,4.10%
107,2022,4 weeks,"Orlando, FL metro area",metro,3/21/2022,4/17/2022,1177,0.017286085,1.70%
114,2022,4 weeks,"Orlando, FL metro area",metro,3/28/2022,4/24/2022,1187,0.006785411,0.70%
121,2022,4 weeks,"Orlando, FL metro area",metro,4/4/2022,5/1/2022,1173,-0.020868114,-2.10%
128,2022,4 weeks,"Orlando, FL metro area",metro,4/11/2022,5/8/2022,1223,0.002459016,0.20%
135,2022,4 weeks,"Orlando, FL metro area",metro,4/18/2022,5/15/2022,1300,0.06122449,6.10%
142,2022,4 weeks,"Orlando, FL metro area",metro,4/25/2022,5/22/2022,1351,0.093042071,9.30%
149,2022,4 weeks,"Orlando, FL metro area",metro,5/2/2022,5/29/2022,1366,0.09807074,9.80%
156,2022,4 weeks,"Orlando, FL metro area",metro,5/9/2022,6/5/2022,1357,0.080414013,8.00%
163,2022,4 weeks,"Orlando, FL metro area",metro,5/16/2022,6/12/2022,1342,0.060031596,6.00%
170,2022,4 weeks,"Orlando, FL metro area",metro,5/23/2022,6/19/2022,1378,0.092783505,9.30%
177,2022,4 weeks,"Orlando, FL metro area",metro,5/30/2022,6/26/2022,1405,0.129421222,12.90%
184,2022,4 weeks,"Orlando, FL metro area",metro,6/6/2022,7/3/2022,1452,0.168141593,16.80%
191,2022,4 weeks,"Orlando, FL metro area",metro,6/13/2022,7/10/2022,1426,0.16503268,16.50%
198,2022,4 weeks,"Orlando, FL metro area",metro,6/20/2022,7/17/2022,1390,0.122778675,12.30%
205,2022,4 weeks,"Orlando, FL metro area",metro,6/27/2022,7/24/2022,1326,0.071082391,7.10%
212,2022,4 weeks,"Orlando, FL metro area",metro,7/4/2022,7/31/2022,1262,0.015285599,1.50%
219,2022,4 weeks,"Orlando, FL metro area",metro,7/11/2022,8/7/2022,1241,-0.002411576,-0.20%
