Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Riverside, CA metro area",metro,12/9/2019,1/5/2020,720,-0.083969466,-8.40%
12,2020,4 weeks,"Riverside, CA metro area",metro,12/16/2019,1/12/2020,807,-0.107300885,-10.70%
19,2020,4 weeks,"Riverside, CA metro area",metro,12/23/2019,1/19/2020,961,-0.067895247,-6.80%
26,2020,4 weeks,"Riverside, CA metro area",metro,12/30/2019,1/26/2020,1197,-0.049245433,-4.90%
33,2020,4 weeks,"Riverside, CA metro area",metro,1/6/2020,2/2/2020,1338,-0.008154188,-0.80%
40,2020,4 weeks,"Riverside, CA metro area",metro,1/13/2020,2/9/2020,1376,0.021529324,2.20%
47,2020,4 weeks,"Riverside, CA metro area",metro,1/20/2020,2/16/2020,1377,0.002183406,0.20%
54,2020,4 weeks,"Riverside, CA metro area",metro,1/27/2020,2/23/2020,1378,0.019985196,2.00%
61,2020,4 weeks,"Riverside, CA metro area",metro,2/3/2020,3/1/2020,1395,0.02724595,2.70%
68,2020,4 weeks,"Riverside, CA metro area",metro,2/10/2020,3/8/2020,1438,0.033788641,3.40%
75,2020,4 weeks,"Riverside, CA metro area",metro,2/17/2020,3/15/2020,1444,0.009084556,0.90%
82,2020,4 weeks,"Riverside, CA metro area",metro,2/24/2020,3/22/2020,1405,-0.048747461,-4.90%
89,2020,4 weeks,"Riverside, CA metro area",metro,3/2/2020,3/29/2020,1288,-0.145888594,-14.60%
96,2020,4 weeks,"Riverside, CA metro area",metro,3/9/2020,4/5/2020,1149,-0.268152866,-26.80%
103,2020,4 weeks,"Riverside, CA metro area",metro,3/16/2020,4/12/2020,982,-0.392702536,-39.30%
110,2020,4 weeks,"Riverside, CA metro area",metro,3/23/2020,4/19/2020,910,-0.441031941,-44.10%
117,2020,4 weeks,"Riverside, CA metro area",metro,3/30/2020,4/26/2020,908,-0.448024316,-44.80%
124,2020,4 weeks,"Riverside, CA metro area",metro,4/6/2020,5/3/2020,915,-0.435533621,-43.60%
131,2020,4 weeks,"Riverside, CA metro area",metro,4/13/2020,5/10/2020,1007,-0.373756219,-37.40%
138,2020,4 weeks,"Riverside, CA metro area",metro,4/20/2020,5/17/2020,1084,-0.343030303,-34.30%
145,2020,4 weeks,"Riverside, CA metro area",metro,4/27/2020,5/24/2020,1166,-0.282461538,-28.20%
152,2020,4 weeks,"Riverside, CA metro area",metro,5/4/2020,5/31/2020,1183,-0.25362776,-25.40%
159,2020,4 weeks,"Riverside, CA metro area",metro,5/11/2020,6/7/2020,1272,-0.197982346,-19.80%
166,2020,4 weeks,"Riverside, CA metro area",metro,5/18/2020,6/14/2020,1308,-0.158842444,-15.90%
173,2020,4 weeks,"Riverside, CA metro area",metro,5/25/2020,6/21/2020,1309,-0.164112388,-16.40%
180,2020,4 weeks,"Riverside, CA metro area",metro,6/1/2020,6/28/2020,1354,-0.134824281,-13.50%
187,2020,4 weeks,"Riverside, CA metro area",metro,6/8/2020,7/5/2020,1328,-0.11051574,-11.10%
194,2020,4 weeks,"Riverside, CA metro area",metro,6/15/2020,7/12/2020,1349,-0.091582492,-9.20%
201,2020,4 weeks,"Riverside, CA metro area",metro,6/22/2020,7/19/2020,1384,-0.057220708,-5.70%
208,2020,4 weeks,"Riverside, CA metro area",metro,6/29/2020,7/26/2020,1402,-0.044959128,-4.50%
215,2020,4 weeks,"Riverside, CA metro area",metro,7/6/2020,8/2/2020,1444,-0.036048064,-3.60%
222,2020,4 weeks,"Riverside, CA metro area",metro,7/13/2020,8/9/2020,1487,0,0.00%
229,2020,4 weeks,"Riverside, CA metro area",metro,7/20/2020,8/16/2020,1516,0.0334015,3.30%
236,2020,4 weeks,"Riverside, CA metro area",metro,7/27/2020,8/23/2020,1556,0.079056865,7.90%
243,2020,4 weeks,"Riverside, CA metro area",metro,8/3/2020,8/30/2020,1570,0.084254144,8.40%
250,2020,4 weeks,"Riverside, CA metro area",metro,8/10/2020,9/6/2020,1612,0.130434783,13.00%
257,2020,4 weeks,"Riverside, CA metro area",metro,8/17/2020,9/13/2020,1584,0.110021023,11.00%
264,2020,4 weeks,"Riverside, CA metro area",metro,8/24/2020,9/20/2020,1601,0.127464789,12.70%
271,2020,4 weeks,"Riverside, CA metro area",metro,8/31/2020,9/27/2020,1595,0.162536443,16.30%
278,2020,4 weeks,"Riverside, CA metro area",metro,9/7/2020,10/4/2020,1554,0.125271542,12.50%
285,2020,4 weeks,"Riverside, CA metro area",metro,9/14/2020,10/11/2020,1587,0.155021834,15.50%
292,2020,4 weeks,"Riverside, CA metro area",metro,9/21/2020,10/18/2020,1582,0.162380602,16.20%
299,2020,4 weeks,"Riverside, CA metro area",metro,9/28/2020,10/25/2020,1575,0.163220089,16.30%
306,2020,4 weeks,"Riverside, CA metro area",metro,10/5/2020,11/1/2020,1511,0.149923896,15.00%
313,2020,4 weeks,"Riverside, CA metro area",metro,10/12/2020,11/8/2020,1460,0.133540373,13.40%
320,2020,4 weeks,"Riverside, CA metro area",metro,10/19/2020,11/15/2020,1378,0.08503937,8.50%
327,2020,4 weeks,"Riverside, CA metro area",metro,10/26/2020,11/22/2020,1316,0.069918699,7.00%
334,2020,4 weeks,"Riverside, CA metro area",metro,11/2/2020,11/29/2020,1198,0.114418605,11.40%
341,2020,4 weeks,"Riverside, CA metro area",metro,11/9/2020,12/6/2020,1141,0.147887324,14.80%
348,2020,4 weeks,"Riverside, CA metro area",metro,11/16/2020,12/13/2020,1111,0.211559433,21.20%
355,2020,4 weeks,"Riverside, CA metro area",metro,11/23/2020,12/20/2020,1034,0.253333333,25.30%
362,2020,4 weeks,"Riverside, CA metro area",metro,11/30/2020,12/27/2020,962,0.269129288,26.90%
3,2021,4 weeks,"Riverside, CA metro area",metro,12/7/2020,1/3/2021,847,0.176388889,17.60%
10,2021,4 weeks,"Riverside, CA metro area",metro,12/14/2020,1/10/2021,839,0.039653036,4.00%
17,2021,4 weeks,"Riverside, CA metro area",metro,12/21/2020,1/17/2021,924,-0.038501561,-3.90%
24,2021,4 weeks,"Riverside, CA metro area",metro,12/28/2020,1/24/2021,1087,-0.091896408,-9.20%
31,2021,4 weeks,"Riverside, CA metro area",metro,1/4/2021,1/31/2021,1216,-0.091180867,-9.10%
38,2021,4 weeks,"Riverside, CA metro area",metro,1/11/2021,2/7/2021,1262,-0.082848837,-8.30%
45,2021,4 weeks,"Riverside, CA metro area",metro,1/18/2021,2/14/2021,1295,-0.059549746,-6.00%
52,2021,4 weeks,"Riverside, CA metro area",metro,1/25/2021,2/21/2021,1310,-0.04934688,-4.90%
59,2021,4 weeks,"Riverside, CA metro area",metro,2/1/2021,2/28/2021,1363,-0.022939068,-2.30%
