Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Sacramento, CA metro area",metro,12/9/2019,1/5/2020,272,-0.130990415,-13.10%
12,2020,4 weeks,"Sacramento, CA metro area",metro,12/16/2019,1/12/2020,320,-0.061583578,-6.20%
19,2020,4 weeks,"Sacramento, CA metro area",metro,12/23/2019,1/19/2020,400,0.017811705,1.80%
26,2020,4 weeks,"Sacramento, CA metro area",metro,12/30/2019,1/26/2020,506,0.012,1.20%
33,2020,4 weeks,"Sacramento, CA metro area",metro,1/6/2020,2/2/2020,565,0.029143898,2.90%
40,2020,4 weeks,"Sacramento, CA metro area",metro,1/13/2020,2/9/2020,601,0.045217391,4.50%
47,2020,4 weeks,"Sacramento, CA metro area",metro,1/20/2020,2/16/2020,615,0.045918367,4.60%
54,2020,4 weeks,"Sacramento, CA metro area",metro,1/27/2020,2/23/2020,647,0.064144737,6.40%
61,2020,4 weeks,"Sacramento, CA metro area",metro,2/3/2020,3/1/2020,695,0.128246753,12.80%
68,2020,4 weeks,"Sacramento, CA metro area",metro,2/10/2020,3/8/2020,732,0.154574132,15.50%
75,2020,4 weeks,"Sacramento, CA metro area",metro,2/17/2020,3/15/2020,794,0.171091445,17.10%
82,2020,4 weeks,"Sacramento, CA metro area",metro,2/24/2020,3/22/2020,802,0.160636758,16.10%
89,2020,4 weeks,"Sacramento, CA metro area",metro,3/2/2020,3/29/2020,737,0.010973937,1.10%
96,2020,4 weeks,"Sacramento, CA metro area",metro,3/9/2020,4/5/2020,681,-0.147684606,-14.80%
103,2020,4 weeks,"Sacramento, CA metro area",metro,3/16/2020,4/12/2020,585,-0.310141509,-31.00%
110,2020,4 weeks,"Sacramento, CA metro area",metro,3/23/2020,4/19/2020,551,-0.372437358,-37.20%
117,2020,4 weeks,"Sacramento, CA metro area",metro,3/30/2020,4/26/2020,574,-0.380798274,-38.10%
124,2020,4 weeks,"Sacramento, CA metro area",metro,4/6/2020,5/3/2020,592,-0.368196371,-36.80%
131,2020,4 weeks,"Sacramento, CA metro area",metro,4/13/2020,5/10/2020,633,-0.318622174,-31.90%
138,2020,4 weeks,"Sacramento, CA metro area",metro,4/20/2020,5/17/2020,675,-0.303405573,-30.30%
145,2020,4 weeks,"Sacramento, CA metro area",metro,4/27/2020,5/24/2020,732,-0.243801653,-24.40%
152,2020,4 weeks,"Sacramento, CA metro area",metro,5/4/2020,5/31/2020,726,-0.216828479,-21.70%
159,2020,4 weeks,"Sacramento, CA metro area",metro,5/11/2020,6/7/2020,761,-0.179072276,-17.90%
166,2020,4 weeks,"Sacramento, CA metro area",metro,5/18/2020,6/14/2020,775,-0.143646409,-14.40%
173,2020,4 weeks,"Sacramento, CA metro area",metro,5/25/2020,6/21/2020,774,-0.120454545,-12.00%
180,2020,4 weeks,"Sacramento, CA metro area",metro,6/1/2020,6/28/2020,796,-0.096481271,-9.60%
187,2020,4 weeks,"Sacramento, CA metro area",metro,6/8/2020,7/5/2020,761,-0.100472813,-10.00%
194,2020,4 weeks,"Sacramento, CA metro area",metro,6/15/2020,7/12/2020,767,-0.103971963,-10.40%
201,2020,4 weeks,"Sacramento, CA metro area",metro,6/22/2020,7/19/2020,763,-0.116898148,-11.70%
208,2020,4 weeks,"Sacramento, CA metro area",metro,6/29/2020,7/26/2020,772,-0.079856973,-8.00%
215,2020,4 weeks,"Sacramento, CA metro area",metro,7/6/2020,8/2/2020,800,-0.043062201,-4.30%
222,2020,4 weeks,"Sacramento, CA metro area",metro,7/13/2020,8/9/2020,810,0.004962779,0.50%
229,2020,4 weeks,"Sacramento, CA metro area",metro,7/20/2020,8/16/2020,836,0.064968153,6.50%
236,2020,4 weeks,"Sacramento, CA metro area",metro,7/27/2020,8/23/2020,840,0.055276382,5.50%
243,2020,4 weeks,"Sacramento, CA metro area",metro,8/3/2020,8/30/2020,840,0.052631579,5.30%
250,2020,4 weeks,"Sacramento, CA metro area",metro,8/10/2020,9/6/2020,845,0.093143596,9.30%
257,2020,4 weeks,"Sacramento, CA metro area",metro,8/17/2020,9/13/2020,822,0.088741722,8.90%
264,2020,4 weeks,"Sacramento, CA metro area",metro,8/24/2020,9/20/2020,830,0.127717391,12.80%
