Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"San Antonio, TX metro area",metro,12/9/2019,1/5/2020,453,0.083732057,8.40%
12,2020,4 weeks,"San Antonio, TX metro area",metro,12/16/2019,1/12/2020,492,0.090909091,9.10%
19,2020,4 weeks,"San Antonio, TX metro area",metro,12/23/2019,1/19/2020,549,0.057803468,5.80%
26,2020,4 weeks,"San Antonio, TX metro area",metro,12/30/2019,1/26/2020,654,0.013953488,1.40%
33,2020,4 weeks,"San Antonio, TX metro area",metro,1/6/2020,2/2/2020,725,0.002766252,0.30%
40,2020,4 weeks,"San Antonio, TX metro area",metro,1/13/2020,2/9/2020,751,-0.002656042,-0.30%
47,2020,4 weeks,"San Antonio, TX metro area",metro,1/20/2020,2/16/2020,762,0.002631579,0.30%
54,2020,4 weeks,"San Antonio, TX metro area",metro,1/27/2020,2/23/2020,775,0.019736842,2.00%
61,2020,4 weeks,"San Antonio, TX metro area",metro,2/3/2020,3/1/2020,812,0.007444169,0.70%
68,2020,4 weeks,"San Antonio, TX metro area",metro,2/10/2020,3/8/2020,824,-0.013173653,-1.30%
75,2020,4 weeks,"San Antonio, TX metro area",metro,2/17/2020,3/15/2020,845,-0.015151515,-1.50%
82,2020,4 weeks,"San Antonio, TX metro area",metro,2/24/2020,3/22/2020,859,-0.029378531,-2.90%
89,2020,4 weeks,"San Antonio, TX metro area",metro,3/2/2020,3/29/2020,831,-0.064189189,-6.40%
96,2020,4 weeks,"San Antonio, TX metro area",metro,3/9/2020,4/5/2020,793,-0.129527991,-13.00%
103,2020,4 weeks,"San Antonio, TX metro area",metro,3/16/2020,4/12/2020,745,-0.208289054,-20.80%
110,2020,4 weeks,"San Antonio, TX metro area",metro,3/23/2020,4/19/2020,731,-0.223166844,-22.30%
117,2020,4 weeks,"San Antonio, TX metro area",metro,3/30/2020,4/26/2020,726,-0.221030043,-22.10%
124,2020,4 weeks,"San Antonio, TX metro area",metro,4/6/2020,5/3/2020,744,-0.194805195,-19.50%
131,2020,4 weeks,"San Antonio, TX metro area",metro,4/13/2020,5/10/2020,791,-0.143939394,-14.40%
138,2020,4 weeks,"San Antonio, TX metro area",metro,4/20/2020,5/17/2020,832,-0.121436114,-12.10%
145,2020,4 weeks,"San Antonio, TX metro area",metro,4/27/2020,5/24/2020,852,-0.118012422,-11.80%
152,2020,4 weeks,"San Antonio, TX metro area",metro,5/4/2020,5/31/2020,840,-0.102564103,-10.30%
159,2020,4 weeks,"San Antonio, TX metro area",metro,5/11/2020,6/7/2020,850,-0.088960343,-8.90%
166,2020,4 weeks,"San Antonio, TX metro area",metro,5/18/2020,6/14/2020,845,-0.082519001,-8.30%
173,2020,4 weeks,"San Antonio, TX metro area",metro,5/25/2020,6/21/2020,839,-0.073951435,-7.40%
180,2020,4 weeks,"San Antonio, TX metro area",metro,6/1/2020,6/28/2020,850,-0.065934066,-6.60%
187,2020,4 weeks,"San Antonio, TX metro area",metro,6/8/2020,7/5/2020,825,-0.044032445,-4.40%
194,2020,4 weeks,"San Antonio, TX metro area",metro,6/15/2020,7/12/2020,824,-0.052873563,-5.30%
