Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"San Diego, CA metro area",metro,12/9/2019,1/5/2020,375,-0.043367347,-4.30%
12,2020,4 weeks,"San Diego, CA metro area",metro,12/16/2019,1/12/2020,436,-0.04595186,-4.60%
19,2020,4 weeks,"San Diego, CA metro area",metro,12/23/2019,1/19/2020,522,-0.062836625,-6.30%
26,2020,4 weeks,"San Diego, CA metro area",metro,12/30/2019,1/26/2020,651,-0.072649573,-7.30%
33,2020,4 weeks,"San Diego, CA metro area",metro,1/6/2020,2/2/2020,720,-0.041278296,-4.10%
40,2020,4 weeks,"San Diego, CA metro area",metro,1/13/2020,2/9/2020,758,-0.029449424,-2.90%
47,2020,4 weeks,"San Diego, CA metro area",metro,1/20/2020,2/16/2020,788,0.01025641,1.00%
54,2020,4 weeks,"San Diego, CA metro area",metro,1/27/2020,2/23/2020,818,0.073490814,7.30%
61,2020,4 weeks,"San Diego, CA metro area",metro,2/3/2020,3/1/2020,833,0.042553191,4.30%
68,2020,4 weeks,"San Diego, CA metro area",metro,2/10/2020,3/8/2020,850,0.041666667,4.20%
75,2020,4 weeks,"San Diego, CA metro area",metro,2/17/2020,3/15/2020,866,0.003476246,0.30%
82,2020,4 weeks,"San Diego, CA metro area",metro,2/24/2020,3/22/2020,868,-0.042998897,-4.30%
89,2020,4 weeks,"San Diego, CA metro area",metro,3/2/2020,3/29/2020,820,-0.070294785,-7.00%
96,2020,4 weeks,"San Diego, CA metro area",metro,3/9/2020,4/5/2020,746,-0.192640693,-19.30%
103,2020,4 weeks,"San Diego, CA metro area",metro,3/16/2020,4/12/2020,634,-0.324813632,-32.50%
110,2020,4 weeks,"San Diego, CA metro area",metro,3/23/2020,4/19/2020,572,-0.382955771,-38.30%
117,2020,4 weeks,"San Diego, CA metro area",metro,3/30/2020,4/26/2020,570,-0.424242424,-42.40%
124,2020,4 weeks,"San Diego, CA metro area",metro,4/6/2020,5/3/2020,602,-0.389452333,-38.90%
131,2020,4 weeks,"San Diego, CA metro area",metro,4/13/2020,5/10/2020,668,-0.309203723,-30.90%
138,2020,4 weeks,"San Diego, CA metro area",metro,4/20/2020,5/17/2020,725,-0.285009862,-28.50%
145,2020,4 weeks,"San Diego, CA metro area",metro,4/27/2020,5/24/2020,803,-0.173868313,-17.40%
152,2020,4 weeks,"San Diego, CA metro area",metro,5/4/2020,5/31/2020,794,-0.153518124,-15.40%
