Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"San Francisco, CA metro area",metro,12/9/2019,1/5/2020,57,0.096153846,9.60%
12,2020,4 weeks,"San Francisco, CA metro area",metro,12/16/2019,1/12/2020,87,-0.121212121,-12.10%
19,2020,4 weeks,"San Francisco, CA metro area",metro,12/23/2019,1/19/2020,130,-0.155844156,-15.60%
26,2020,4 weeks,"San Francisco, CA metro area",metro,12/30/2019,1/26/2020,183,-0.148837209,-14.90%
33,2020,4 weeks,"San Francisco, CA metro area",metro,1/6/2020,2/2/2020,201,-0.172839506,-17.30%
40,2020,4 weeks,"San Francisco, CA metro area",metro,1/13/2020,2/9/2020,246,-0.012048193,-1.20%
47,2020,4 weeks,"San Francisco, CA metro area",metro,1/20/2020,2/16/2020,253,0.06302521,6.30%
54,2020,4 weeks,"San Francisco, CA metro area",metro,1/27/2020,2/23/2020,268,0.18061674,18.10%
61,2020,4 weeks,"San Francisco, CA metro area",metro,2/3/2020,3/1/2020,299,0.251046025,25.10%
68,2020,4 weeks,"San Francisco, CA metro area",metro,2/10/2020,3/8/2020,286,0.206751055,20.70%
75,2020,4 weeks,"San Francisco, CA metro area",metro,2/17/2020,3/15/2020,299,0.163424125,16.30%
82,2020,4 weeks,"San Francisco, CA metro area",metro,2/24/2020,3/22/2020,255,-0.041353383,-4.10%
89,2020,4 weeks,"San Francisco, CA metro area",metro,3/2/2020,3/29/2020,201,-0.244360902,-24.40%
96,2020,4 weeks,"San Francisco, CA metro area",metro,3/9/2020,4/5/2020,151,-0.436567164,-43.70%
103,2020,4 weeks,"San Francisco, CA metro area",metro,3/16/2020,4/12/2020,114,-0.585454545,-58.50%
110,2020,4 weeks,"San Francisco, CA metro area",metro,3/23/2020,4/19/2020,124,-0.537313433,-53.70%
117,2020,4 weeks,"San Francisco, CA metro area",metro,3/30/2020,4/26/2020,147,-0.498293515,-49.80%
124,2020,4 weeks,"San Francisco, CA metro area",metro,4/6/2020,5/3/2020,168,-0.45631068,-45.60%
131,2020,4 weeks,"San Francisco, CA metro area",metro,4/13/2020,5/10/2020,196,-0.36977492,-37.00%
138,2020,4 weeks,"San Francisco, CA metro area",metro,4/20/2020,5/17/2020,230,-0.298780488,-29.90%
145,2020,4 weeks,"San Francisco, CA metro area",metro,4/27/2020,5/24/2020,258,-0.116438356,-11.60%
152,2020,4 weeks,"San Francisco, CA metro area",metro,5/4/2020,5/31/2020,278,-0.047945205,-4.80%
159,2020,4 weeks,"San Francisco, CA metro area",metro,5/11/2020,6/7/2020,299,0.045454545,4.50%
166,2020,4 weeks,"San Francisco, CA metro area",metro,5/18/2020,6/14/2020,312,0.106382979,10.60%
