Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"San Jose, CA metro area",metro,12/9/2019,1/5/2020,71,-0.053333333,-5.30%
12,2020,4 weeks,"San Jose, CA metro area",metro,12/16/2019,1/12/2020,101,-0.114035088,-11.40%
19,2020,4 weeks,"San Jose, CA metro area",metro,12/23/2019,1/19/2020,147,-0.145348837,-14.50%
26,2020,4 weeks,"San Jose, CA metro area",metro,12/30/2019,1/26/2020,207,-0.130252101,-13.00%
33,2020,4 weeks,"San Jose, CA metro area",metro,1/6/2020,2/2/2020,240,-0.130434783,-13.00%
40,2020,4 weeks,"San Jose, CA metro area",metro,1/13/2020,2/9/2020,274,-0.113268608,-11.30%
47,2020,4 weeks,"San Jose, CA metro area",metro,1/20/2020,2/16/2020,292,-0.075949367,-7.60%
54,2020,4 weeks,"San Jose, CA metro area",metro,1/27/2020,2/23/2020,308,-0.034482759,-3.40%
61,2020,4 weeks,"San Jose, CA metro area",metro,2/3/2020,3/1/2020,343,-0.044568245,-4.50%
68,2020,4 weeks,"San Jose, CA metro area",metro,2/10/2020,3/8/2020,357,0.034782609,3.50%
75,2020,4 weeks,"San Jose, CA metro area",metro,2/17/2020,3/15/2020,387,0.048780488,4.90%
82,2020,4 weeks,"San Jose, CA metro area",metro,2/24/2020,3/22/2020,349,-0.071808511,-7.20%
89,2020,4 weeks,"San Jose, CA metro area",metro,3/2/2020,3/29/2020,311,-0.163978495,-16.40%
96,2020,4 weeks,"San Jose, CA metro area",metro,3/9/2020,4/5/2020,260,-0.353233831,-35.30%
103,2020,4 weeks,"San Jose, CA metro area",metro,3/16/2020,4/12/2020,202,-0.498759305,-49.90%
110,2020,4 weeks,"San Jose, CA metro area",metro,3/23/2020,4/19/2020,209,-0.478802993,-47.90%
117,2020,4 weeks,"San Jose, CA metro area",metro,3/30/2020,4/26/2020,218,-0.502283105,-50.20%
124,2020,4 weeks,"San Jose, CA metro area",metro,4/6/2020,5/3/2020,229,-0.489977728,-49.00%
131,2020,4 weeks,"San Jose, CA metro area",metro,4/13/2020,5/10/2020,252,-0.460385439,-46.00%
138,2020,4 weeks,"San Jose, CA metro area",metro,4/20/2020,5/17/2020,282,-0.443786982,-44.40%
145,2020,4 weeks,"San Jose, CA metro area",metro,4/27/2020,5/24/2020,312,-0.318777293,-31.90%
152,2020,4 weeks,"San Jose, CA metro area",metro,5/4/2020,5/31/2020,322,-0.274774775,-27.50%
159,2020,4 weeks,"San Jose, CA metro area",metro,5/11/2020,6/7/2020,334,-0.221445221,-22.10%
166,2020,4 weeks,"San Jose, CA metro area",metro,5/18/2020,6/14/2020,334,-0.145780051,-14.60%
173,2020,4 weeks,"San Jose, CA metro area",metro,5/25/2020,6/21/2020,332,-0.201923077,-20.20%
180,2020,4 weeks,"San Jose, CA metro area",metro,6/1/2020,6/28/2020,355,-0.080310881,-8.00%
187,2020,4 weeks,"San Jose, CA metro area",metro,6/8/2020,7/5/2020,343,0.068535826,6.90%
194,2020,4 weeks,"San Jose, CA metro area",metro,6/15/2020,7/12/2020,364,0.064327485,6.40%
201,2020,4 weeks,"San Jose, CA metro area",metro,6/22/2020,7/19/2020,373,0.133738602,13.40%
208,2020,4 weeks,"San Jose, CA metro area",metro,6/29/2020,7/26/2020,367,0.143302181,14.30%
215,2020,4 weeks,"San Jose, CA metro area",metro,7/6/2020,8/2/2020,378,0.064788732,6.50%
222,2020,4 weeks,"San Jose, CA metro area",metro,7/13/2020,8/9/2020,374,0.147239264,14.70%
229,2020,4 weeks,"San Jose, CA metro area",metro,7/20/2020,8/16/2020,377,0.196825397,19.70%
236,2020,4 weeks,"San Jose, CA metro area",metro,7/27/2020,8/23/2020,385,0.195652174,19.60%
243,2020,4 weeks,"San Jose, CA metro area",metro,8/3/2020,8/30/2020,388,0.284768212,28.50%
250,2020,4 weeks,"San Jose, CA metro area",metro,8/10/2020,9/6/2020,384,0.222929936,22.30%
257,2020,4 weeks,"San Jose, CA metro area",metro,8/17/2020,9/13/2020,378,0.188679245,18.90%
264,2020,4 weeks,"San Jose, CA metro area",metro,8/24/2020,9/20/2020,391,0.206790123,20.70%
271,2020,4 weeks,"San Jose, CA metro area",metro,8/31/2020,9/27/2020,399,0.1875,18.80%
278,2020,4 weeks,"San Jose, CA metro area",metro,9/7/2020,10/4/2020,405,0.265625,26.60%
285,2020,4 weeks,"San Jose, CA metro area",metro,9/14/2020,10/11/2020,424,0.385620915,38.60%
292,2020,4 weeks,"San Jose, CA metro area",metro,9/21/2020,10/18/2020,419,0.444827586,44.50%
299,2020,4 weeks,"San Jose, CA metro area",metro,9/28/2020,10/25/2020,422,0.475524476,47.60%
306,2020,4 weeks,"San Jose, CA metro area",metro,10/5/2020,11/1/2020,414,0.580152672,58.00%
313,2020,4 weeks,"San Jose, CA metro area",metro,10/12/2020,11/8/2020,385,0.577868852,57.80%
320,2020,4 weeks,"San Jose, CA metro area",metro,10/19/2020,11/15/2020,354,0.616438356,61.60%
327,2020,4 weeks,"San Jose, CA metro area",metro,10/26/2020,11/22/2020,310,0.631578947,63.20%
334,2020,4 weeks,"San Jose, CA metro area",metro,11/2/2020,11/29/2020,256,0.641025641,64.10%
341,2020,4 weeks,"San Jose, CA metro area",metro,11/9/2020,12/6/2020,250,0.798561151,79.90%
348,2020,4 weeks,"San Jose, CA metro area",metro,11/16/2020,12/13/2020,233,1.026086957,102.60%
355,2020,4 weeks,"San Jose, CA metro area",metro,11/23/2020,12/20/2020,224,1.357894737,135.80%
362,2020,4 weeks,"San Jose, CA metro area",metro,11/30/2020,12/27/2020,220,1.528735632,152.90%
3,2021,4 weeks,"San Jose, CA metro area",metro,12/7/2020,1/3/2021,172,1.422535211,142.30%
10,2021,4 weeks,"San Jose, CA metro area",metro,12/14/2020,1/10/2021,185,0.831683168,83.20%
17,2021,4 weeks,"San Jose, CA metro area",metro,12/21/2020,1/17/2021,224,0.523809524,52.40%
24,2021,4 weeks,"San Jose, CA metro area",metro,12/28/2020,1/24/2021,276,0.333333333,33.30%
31,2021,4 weeks,"San Jose, CA metro area",metro,1/4/2021,1/31/2021,330,0.375,37.50%
38,2021,4 weeks,"San Jose, CA metro area",metro,1/11/2021,2/7/2021,358,0.306569343,30.70%
45,2021,4 weeks,"San Jose, CA metro area",metro,1/18/2021,2/14/2021,378,0.294520548,29.50%
52,2021,4 weeks,"San Jose, CA metro area",metro,1/25/2021,2/21/2021,392,0.272727273,27.30%
59,2021,4 weeks,"San Jose, CA metro area",metro,2/1/2021,2/28/2021,409,0.192419825,19.20%
66,2021,4 weeks,"San Jose, CA metro area",metro,2/8/2021,3/7/2021,425,0.19047619,19.00%
73,2021,4 weeks,"San Jose, CA metro area",metro,2/15/2021,3/14/2021,433,0.118863049,11.90%
80,2021,4 weeks,"San Jose, CA metro area",metro,2/22/2021,3/21/2021,455,0.303724928,30.40%
87,2021,4 weeks,"San Jose, CA metro area",metro,3/1/2021,3/28/2021,464,0.491961415,49.20%
94,2021,4 weeks,"San Jose, CA metro area",metro,3/8/2021,4/4/2021,446,0.715384615,71.50%
101,2021,4 weeks,"San Jose, CA metro area",metro,3/15/2021,4/11/2021,453,1.242574257,124.30%
108,2021,4 weeks,"San Jose, CA metro area",metro,3/22/2021,4/18/2021,457,1.186602871,118.70%
115,2021,4 weeks,"San Jose, CA metro area",metro,3/29/2021,4/25/2021,465,1.133027523,113.30%
122,2021,4 weeks,"San Jose, CA metro area",metro,4/5/2021,5/2/2021,486,1.122270742,112.20%
129,2021,4 weeks,"San Jose, CA metro area",metro,4/12/2021,5/9/2021,489,0.94047619,94.00%
136,2021,4 weeks,"San Jose, CA metro area",metro,4/19/2021,5/16/2021,493,0.74822695,74.80%
143,2021,4 weeks,"San Jose, CA metro area",metro,4/26/2021,5/23/2021,520,0.666666667,66.70%
150,2021,4 weeks,"San Jose, CA metro area",metro,5/3/2021,5/30/2021,507,0.574534161,57.50%
157,2021,4 weeks,"San Jose, CA metro area",metro,5/10/2021,6/6/2021,498,0.491017964,49.10%
164,2021,4 weeks,"San Jose, CA metro area",metro,5/17/2021,6/13/2021,493,0.476047904,47.60%
171,2021,4 weeks,"San Jose, CA metro area",metro,5/24/2021,6/20/2021,473,0.424698795,42.50%
178,2021,4 weeks,"San Jose, CA metro area",metro,5/31/2021,6/27/2021,503,0.416901408,41.70%
185,2021,4 weeks,"San Jose, CA metro area",metro,6/7/2021,7/4/2021,452,0.317784257,31.80%
192,2021,4 weeks,"San Jose, CA metro area",metro,6/14/2021,7/11/2021,456,0.252747253,25.30%
199,2021,4 weeks,"San Jose, CA metro area",metro,6/21/2021,7/18/2021,463,0.241286863,24.10%
206,2021,4 weeks,"San Jose, CA metro area",metro,6/28/2021,7/25/2021,445,0.21253406,21.30%
213,2021,4 weeks,"San Jose, CA metro area",metro,7/5/2021,8/1/2021,476,0.259259259,25.90%
220,2021,4 weeks,"San Jose, CA metro area",metro,7/12/2021,8/8/2021,451,0.205882353,20.60%
227,2021,4 weeks,"San Jose, CA metro area",metro,7/19/2021,8/15/2021,425,0.127320955,12.70%
234,2021,4 weeks,"San Jose, CA metro area",metro,7/26/2021,8/22/2021,417,0.083116883,8.30%
241,2021,4 weeks,"San Jose, CA metro area",metro,8/2/2021,8/29/2021,423,0.090206186,9.00%
248,2021,4 weeks,"San Jose, CA metro area",metro,8/9/2021,9/5/2021,388,0.010416667,1.00%
255,2021,4 weeks,"San Jose, CA metro area",metro,8/16/2021,9/12/2021,402,0.063492063,6.30%
262,2021,4 weeks,"San Jose, CA metro area",metro,8/23/2021,9/19/2021,401,0.025575448,2.60%
269,2021,4 weeks,"San Jose, CA metro area",metro,8/30/2021,9/26/2021,392,-0.01754386,-1.80%
276,2021,4 weeks,"San Jose, CA metro area",metro,9/6/2021,10/3/2021,419,0.034567901,3.50%
283,2021,4 weeks,"San Jose, CA metro area",metro,9/13/2021,10/10/2021,395,-0.068396226,-6.80%
290,2021,4 weeks,"San Jose, CA metro area",metro,9/20/2021,10/17/2021,384,-0.08353222,-8.40%
297,2021,4 weeks,"San Jose, CA metro area",metro,9/27/2021,10/24/2021,368,-0.127962085,-12.80%
304,2021,4 weeks,"San Jose, CA metro area",metro,10/4/2021,10/31/2021,347,-0.161835749,-16.20%
311,2021,4 weeks,"San Jose, CA metro area",metro,10/11/2021,11/7/2021,325,-0.155844156,-15.60%
318,2021,4 weeks,"San Jose, CA metro area",metro,10/18/2021,11/14/2021,299,-0.155367232,-15.50%
325,2021,4 weeks,"San Jose, CA metro area",metro,10/25/2021,11/21/2021,282,-0.090322581,-9.00%
332,2021,4 weeks,"San Jose, CA metro area",metro,11/1/2021,11/28/2021,228,-0.109375,-10.90%
339,2021,4 weeks,"San Jose, CA metro area",metro,11/8/2021,12/5/2021,226,-0.096,-9.60%
346,2021,4 weeks,"San Jose, CA metro area",metro,11/15/2021,12/12/2021,208,-0.107296137,-10.70%
353,2021,4 weeks,"San Jose, CA metro area",metro,11/22/2021,12/19/2021,180,-0.196428571,-19.60%
360,2021,4 weeks,"San Jose, CA metro area",metro,11/29/2021,12/26/2021,173,-0.213636364,-21.40%
2,2022,4 weeks,"San Jose, CA metro area",metro,12/6/2021,1/2/2022,113,-0.343023256,-34.30%
9,2022,4 weeks,"San Jose, CA metro area",metro,12/13/2021,1/9/2022,111,-0.4,-40.00%
16,2022,4 weeks,"San Jose, CA metro area",metro,12/20/2021,1/16/2022,152,-0.321428571,-32.10%
23,2022,4 weeks,"San Jose, CA metro area",metro,12/27/2021,1/23/2022,215,-0.221014493,-22.10%
30,2022,4 weeks,"San Jose, CA metro area",metro,1/3/2022,1/30/2022,280,-0.151515152,-15.20%
37,2022,4 weeks,"San Jose, CA metro area",metro,1/10/2022,2/6/2022,326,-0.089385475,-8.90%
44,2022,4 weeks,"San Jose, CA metro area",metro,1/17/2022,2/13/2022,337,-0.108465608,-10.80%
51,2022,4 weeks,"San Jose, CA metro area",metro,1/24/2022,2/20/2022,371,-0.053571429,-5.40%
58,2022,4 weeks,"San Jose, CA metro area",metro,1/31/2022,2/27/2022,396,-0.031784841,-3.20%
65,2022,4 weeks,"San Jose, CA metro area",metro,2/7/2022,3/6/2022,412,-0.030588235,-3.10%
72,2022,4 weeks,"San Jose, CA metro area",metro,2/14/2022,3/13/2022,438,0.011547344,1.20%
79,2022,4 weeks,"San Jose, CA metro area",metro,2/21/2022,3/20/2022,441,-0.030769231,-3.10%
86,2022,4 weeks,"San Jose, CA metro area",metro,2/28/2022,3/27/2022,434,-0.064655172,-6.50%
93,2022,4 weeks,"San Jose, CA metro area",metro,3/7/2022,4/3/2022,431,-0.033632287,-3.40%
100,2022,4 weeks,"San Jose, CA metro area",metro,3/14/2022,4/10/2022,439,-0.030905077,-3.10%
107,2022,4 weeks,"San Jose, CA metro area",metro,3/21/2022,4/17/2022,410,-0.102844639,-10.30%
114,2022,4 weeks,"San Jose, CA metro area",metro,3/28/2022,4/24/2022,449,-0.034408602,-3.40%
121,2022,4 weeks,"San Jose, CA metro area",metro,4/4/2022,5/1/2022,466,-0.041152263,-4.10%
128,2022,4 weeks,"San Jose, CA metro area",metro,4/11/2022,5/8/2022,461,-0.057259714,-5.70%
135,2022,4 weeks,"San Jose, CA metro area",metro,4/18/2022,5/15/2022,508,0.030425963,3.00%
142,2022,4 weeks,"San Jose, CA metro area",metro,4/25/2022,5/22/2022,508,-0.023076923,-2.30%
149,2022,4 weeks,"San Jose, CA metro area",metro,5/2/2022,5/29/2022,462,-0.088757396,-8.90%
156,2022,4 weeks,"San Jose, CA metro area",metro,5/9/2022,6/5/2022,459,-0.078313253,-7.80%
163,2022,4 weeks,"San Jose, CA metro area",metro,5/16/2022,6/12/2022,419,-0.15010142,-15.00%
170,2022,4 weeks,"San Jose, CA metro area",metro,5/23/2022,6/19/2022,384,-0.188160677,-18.80%
177,2022,4 weeks,"San Jose, CA metro area",metro,5/30/2022,6/26/2022,407,-0.190854871,-19.10%
184,2022,4 weeks,"San Jose, CA metro area",metro,6/6/2022,7/3/2022,361,-0.201327434,-20.10%
191,2022,4 weeks,"San Jose, CA metro area",metro,6/13/2022,7/10/2022,369,-0.190789474,-19.10%
198,2022,4 weeks,"San Jose, CA metro area",metro,6/20/2022,7/17/2022,361,-0.220302376,-22.00%
205,2022,4 weeks,"San Jose, CA metro area",metro,6/27/2022,7/24/2022,337,-0.242696629,-24.30%
212,2022,4 weeks,"San Jose, CA metro area",metro,7/4/2022,7/31/2022,345,-0.275210084,-27.50%
219,2022,4 weeks,"San Jose, CA metro area",metro,7/11/2022,8/7/2022,315,-0.301552106,-30.20%
226,2022,4 weeks,"San Jose, CA metro area",metro,7/18/2022,8/14/2022,294,-0.308235294,-30.80%
233,2022,4 weeks,"San Jose, CA metro area",metro,7/25/2022,8/21/2022,283,-0.321342926,-32.10%
240,2022,4 weeks,"San Jose, CA metro area",metro,8/1/2022,8/28/2022,287,-0.321513002,-32.20%
247,2022,4 weeks,"San Jose, CA metro area",metro,8/8/2022,9/4/2022,269,-0.306701031,-30.70%
254,2022,4 weeks,"San Jose, CA metro area",metro,8/15/2022,9/11/2022,277,-0.310945274,-31.10%
261,2022,4 weeks,"San Jose, CA metro area",metro,8/22/2022,9/18/2022,278,-0.306733167,-30.70%
268,2022,4 weeks,"San Jose, CA metro area",metro,8/29/2022,9/25/2022,266,-0.321428571,-32.10%
275,2022,4 weeks,"San Jose, CA metro area",metro,9/5/2022,10/2/2022,283,-0.324582339,-32.50%
282,2022,4 weeks,"San Jose, CA metro area",metro,9/12/2022,10/9/2022,272,-0.311392405,-31.10%
289,2022,4 weeks,"San Jose, CA metro area",metro,9/19/2022,10/16/2022,260,-0.322916667,-32.30%
296,2022,4 weeks,"San Jose, CA metro area",metro,9/26/2022,10/23/2022,252,-0.315217391,-31.50%
303,2022,4 weeks,"San Jose, CA metro area",metro,10/3/2022,10/30/2022,228,-0.342939481,-34.30%
310,2022,4 weeks,"San Jose, CA metro area",metro,10/10/2022,11/6/2022,209,-0.356923077,-35.70%
317,2022,4 weeks,"San Jose, CA metro area",metro,10/17/2022,11/13/2022,196,-0.344481605,-34.40%
324,2022,4 weeks,"San Jose, CA metro area",metro,10/24/2022,11/20/2022,177,-0.372340426,-37.20%
331,2022,4 weeks,"San Jose, CA metro area",metro,10/31/2022,11/27/2022,149,-0.346491228,-34.60%
338,2022,4 weeks,"San Jose, CA metro area",metro,11/7/2022,12/4/2022,145,-0.35840708,-35.80%
345,2022,4 weeks,"San Jose, CA metro area",metro,11/14/2022,12/11/2022,131,-0.370192308,-37.00%
352,2022,4 weeks,"San Jose, CA metro area",metro,11/21/2022,12/18/2022,117,-0.35,-35.00%
359,2022,4 weeks,"San Jose, CA metro area",metro,11/28/2022,12/25/2022,108,-0.375722543,-37.60%
1,2023,4 weeks,"San Jose, CA metro area",metro,12/5/2022,1/1/2023,75,-0.336283186,-33.60%
8,2023,4 weeks,"San Jose, CA metro area",metro,12/12/2022,1/8/2023,78,-0.297297297,-29.70%
15,2023,4 weeks,"San Jose, CA metro area",metro,12/19/2022,1/15/2023,90,-0.407894737,-40.80%
22,2023,4 weeks,"San Jose, CA metro area",metro,12/26/2022,1/22/2023,132,-0.386046512,-38.60%
29,2023,4 weeks,"San Jose, CA metro area",metro,1/2/2023,1/29/2023,169,-0.396428571,-39.60%
36,2023,4 weeks,"San Jose, CA metro area",metro,1/9/2023,2/5/2023,195,-0.401840491,-40.20%
43,2023,4 weeks,"San Jose, CA metro area",metro,1/16/2023,2/12/2023,207,-0.385756677,-38.60%
50,2023,4 weeks,"San Jose, CA metro area",metro,1/23/2023,2/19/2023,217,-0.41509434,-41.50%
57,2023,4 weeks,"San Jose, CA metro area",metro,1/30/2023,2/26/2023,222,-0.439393939,-43.90%
64,2023,4 weeks,"San Jose, CA metro area",metro,2/6/2023,3/5/2023,229,-0.444174757,-44.40%
71,2023,4 weeks,"San Jose, CA metro area",metro,2/13/2023,3/12/2023,242,-0.447488584,-44.70%
78,2023,4 weeks,"San Jose, CA metro area",metro,2/20/2023,3/19/2023,244,-0.446712018,-44.70%
85,2023,4 weeks,"San Jose, CA metro area",metro,2/27/2023,3/26/2023,257,-0.407834101,-40.80%
92,2023,4 weeks,"San Jose, CA metro area",metro,3/6/2023,4/2/2023,248,-0.424593968,-42.50%
99,2023,4 weeks,"San Jose, CA metro area",metro,3/13/2023,4/9/2023,238,-0.45785877,-45.80%
106,2023,4 weeks,"San Jose, CA metro area",metro,3/20/2023,4/16/2023,252,-0.385365854,-38.50%
113,2023,4 weeks,"San Jose, CA metro area",metro,3/27/2023,4/23/2023,269,-0.400890869,-40.10%
120,2023,4 weeks,"San Jose, CA metro area",metro,4/3/2023,4/30/2023,281,-0.396995708,-39.70%
127,2023,4 weeks,"San Jose, CA metro area",metro,4/10/2023,5/7/2023,313,-0.321041215,-32.10%
134,2023,4 weeks,"San Jose, CA metro area",metro,4/17/2023,5/14/2023,308,-0.393700787,-39.40%
141,2023,4 weeks,"San Jose, CA metro area",metro,4/24/2023,5/21/2023,324,-0.362204724,-36.20%
148,2023,4 weeks,"San Jose, CA metro area",metro,5/1/2023,5/28/2023,308,-0.333333333,-33.30%
155,2023,4 weeks,"San Jose, CA metro area",metro,5/8/2023,6/4/2023,291,-0.366013072,-36.60%
162,2023,4 weeks,"San Jose, CA metro area",metro,5/15/2023,6/11/2023,291,-0.30548926,-30.50%
169,2023,4 weeks,"San Jose, CA metro area",metro,5/22/2023,6/18/2023,257,-0.330729167,-33.10%
176,2023,4 weeks,"San Jose, CA metro area",metro,5/29/2023,6/25/2023,278,-0.316953317,-31.70%
183,2023,4 weeks,"San Jose, CA metro area",metro,6/5/2023,7/2/2023,253,-0.299168975,-29.90%
190,2023,4 weeks,"San Jose, CA metro area",metro,6/12/2023,7/9/2023,240,-0.349593496,-35.00%
197,2023,4 weeks,"San Jose, CA metro area",metro,6/19/2023,7/16/2023,244,-0.324099723,-32.40%
204,2023,4 weeks,"San Jose, CA metro area",metro,6/26/2023,7/23/2023,244,-0.275964392,-27.60%
211,2023,4 weeks,"San Jose, CA metro area",metro,7/3/2023,7/30/2023,259,-0.249275362,-24.90%
218,2023,4 weeks,"San Jose, CA metro area",metro,7/10/2023,8/6/2023,270,-0.142857143,-14.30%
225,2023,4 weeks,"San Jose, CA metro area",metro,7/17/2023,8/13/2023,267,-0.091836735,-9.20%
232,2023,4 weeks,"San Jose, CA metro area",metro,7/24/2023,8/20/2023,266,-0.060070671,-6.00%
239,2023,4 weeks,"San Jose, CA metro area",metro,7/31/2023,8/27/2023,282,-0.017421603,-1.70%
246,2023,4 weeks,"San Jose, CA metro area",metro,8/7/2023,9/3/2023,266,-0.011152416,-1.10%
253,2023,4 weeks,"San Jose, CA metro area",metro,8/14/2023,9/10/2023,279,0.007220217,0.70%
260,2023,4 weeks,"San Jose, CA metro area",metro,8/21/2023,9/17/2023,275,-0.010791367,-1.10%
267,2023,4 weeks,"San Jose, CA metro area",metro,8/28/2023,9/24/2023,268,0.007518797,0.80%
274,2023,4 weeks,"San Jose, CA metro area",metro,9/4/2023,10/1/2023,285,0.007067138,0.70%
281,2023,4 weeks,"San Jose, CA metro area",metro,9/11/2023,10/8/2023,270,-0.007352941,-0.70%
288,2023,4 weeks,"San Jose, CA metro area",metro,9/18/2023,10/15/2023,259,-0.003846154,-0.40%
295,2023,4 weeks,"San Jose, CA metro area",metro,9/25/2023,10/22/2023,255.6768411,0.014590639,1.50%
302,2023,4 weeks,"San Jose, CA metro area",metro,10/2/2023,10/29/2023,243.2475558,0.066875245,6.70%
309,2023,4 weeks,"San Jose, CA metro area",metro,10/9/2023,11/5/2023,238.409758,0.140716545,14.10%
316,2023,4 weeks,"San Jose, CA metro area",metro,10/16/2023,11/12/2023,242.9683539,0.239634459,24.00%
