Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Tampa, FL metro area",metro,12/9/2019,1/5/2020,924,-0.076923077,-7.70%
12,2020,4 weeks,"Tampa, FL metro area",metro,12/16/2019,1/12/2020,1005,-0.088848595,-8.90%
19,2020,4 weeks,"Tampa, FL metro area",metro,12/23/2019,1/19/2020,1170,-0.094427245,-9.40%
26,2020,4 weeks,"Tampa, FL metro area",metro,12/30/2019,1/26/2020,1417,-0.075668624,-7.60%
33,2020,4 weeks,"Tampa, FL metro area",metro,1/6/2020,2/2/2020,1537,-0.074653823,-7.50%
40,2020,4 weeks,"Tampa, FL metro area",metro,1/13/2020,2/9/2020,1594,-0.040914561,-4.10%
47,2020,4 weeks,"Tampa, FL metro area",metro,1/20/2020,2/16/2020,1565,-0.036330049,-3.60%
54,2020,4 weeks,"Tampa, FL metro area",metro,1/27/2020,2/23/2020,1563,-0.031598513,-3.20%
61,2020,4 weeks,"Tampa, FL metro area",metro,2/3/2020,3/1/2020,1585,-0.022208513,-2.20%
68,2020,4 weeks,"Tampa, FL metro area",metro,2/10/2020,3/8/2020,1598,-0.026203534,-2.60%
75,2020,4 weeks,"Tampa, FL metro area",metro,2/17/2020,3/15/2020,1648,-0.014354067,-1.40%
82,2020,4 weeks,"Tampa, FL metro area",metro,2/24/2020,3/22/2020,1651,0.000606061,0.10%
89,2020,4 weeks,"Tampa, FL metro area",metro,3/2/2020,3/29/2020,1599,-0.030909091,-3.10%
96,2020,4 weeks,"Tampa, FL metro area",metro,3/9/2020,4/5/2020,1492,-0.108188882,-10.80%
103,2020,4 weeks,"Tampa, FL metro area",metro,3/16/2020,4/12/2020,1300,-0.224806202,-22.50%
110,2020,4 weeks,"Tampa, FL metro area",metro,3/23/2020,4/19/2020,1179,-0.29443447,-29.40%
117,2020,4 weeks,"Tampa, FL metro area",metro,3/30/2020,4/26/2020,1093,-0.332722833,-33.30%
124,2020,4 weeks,"Tampa, FL metro area",metro,4/6/2020,5/3/2020,1077,-0.340477648,-34.00%
131,2020,4 weeks,"Tampa, FL metro area",metro,4/13/2020,5/10/2020,1173,-0.265957447,-26.60%
138,2020,4 weeks,"Tampa, FL metro area",metro,4/20/2020,5/17/2020,1258,-0.216687422,-21.70%
145,2020,4 weeks,"Tampa, FL metro area",metro,4/27/2020,5/24/2020,1361,-0.163491088,-16.30%
152,2020,4 weeks,"Tampa, FL metro area",metro,5/4/2020,5/31/2020,1374,-0.114690722,-11.50%
159,2020,4 weeks,"Tampa, FL metro area",metro,5/11/2020,6/7/2020,1404,-0.118644068,-11.90%
