Day of Year,Year of Period End,Duration,Region Name,Region Type,Period Begin,Period End,adjusted_average_new_listings,adjusted_average_new_listings_yoy,Average New Listings Yoy (tooltip)
5,2020,4 weeks,"Tucson, AZ metro area",metro,12/9/2019,1/5/2020,216,-0.092436975,-9.20%
12,2020,4 weeks,"Tucson, AZ metro area",metro,12/16/2019,1/12/2020,253,-0.034351145,-3.40%
19,2020,4 weeks,"Tucson, AZ metro area",metro,12/23/2019,1/19/2020,301,-0.029032258,-2.90%
26,2020,4 weeks,"Tucson, AZ metro area",metro,12/30/2019,1/26/2020,366,-0.066326531,-6.60%
33,2020,4 weeks,"Tucson, AZ metro area",metro,1/6/2020,2/2/2020,412,-0.014354067,-1.40%
40,2020,4 weeks,"Tucson, AZ metro area",metro,1/13/2020,2/9/2020,412,-0.03962704,-4.00%
47,2020,4 weeks,"Tucson, AZ metro area",metro,1/20/2020,2/16/2020,417,-0.016509434,-1.70%
54,2020,4 weeks,"Tucson, AZ metro area",metro,1/27/2020,2/23/2020,415,0.032338308,3.20%
61,2020,4 weeks,"Tucson, AZ metro area",metro,2/3/2020,3/1/2020,407,0.032994924,3.30%
68,2020,4 weeks,"Tucson, AZ metro area",metro,2/10/2020,3/8/2020,417,0.045112782,4.50%
75,2020,4 weeks,"Tucson, AZ metro area",metro,2/17/2020,3/15/2020,422,0.06835443,6.80%
82,2020,4 weeks,"Tucson, AZ metro area",metro,2/24/2020,3/22/2020,442,0.06763285,6.80%
89,2020,4 weeks,"Tucson, AZ metro area",metro,3/2/2020,3/29/2020,449,0.069047619,6.90%
96,2020,4 weeks,"Tucson, AZ metro area",metro,3/9/2020,4/5/2020,430,0.002331002,0.20%
103,2020,4 weeks,"Tucson, AZ metro area",metro,3/16/2020,4/12/2020,393,-0.124721604,-12.50%
110,2020,4 weeks,"Tucson, AZ metro area",metro,3/23/2020,4/19/2020,350,-0.222222222,-22.20%
117,2020,4 weeks,"Tucson, AZ metro area",metro,3/30/2020,4/26/2020,313,-0.296629213,-29.70%
124,2020,4 weeks,"Tucson, AZ metro area",metro,4/6/2020,5/3/2020,306,-0.290023202,-29.00%
131,2020,4 weeks,"Tucson, AZ metro area",metro,4/13/2020,5/10/2020,318,-0.212871287,-21.30%
138,2020,4 weeks,"Tucson, AZ metro area",metro,4/20/2020,5/17/2020,333,-0.150510204,-15.10%
145,2020,4 weeks,"Tucson, AZ metro area",metro,4/27/2020,5/24/2020,352,-0.085714286,-8.60%
152,2020,4 weeks,"Tucson, AZ metro area",metro,5/4/2020,5/31/2020,342,-0.05785124,-5.80%
159,2020,4 weeks,"Tucson, AZ metro area",metro,5/11/2020,6/7/2020,342,-0.09762533,-9.80%
166,2020,4 weeks,"Tucson, AZ metro area",metro,5/18/2020,6/14/2020,343,-0.094986807,-9.50%
173,2020,4 weeks,"Tucson, AZ metro area",metro,5/25/2020,6/21/2020,339,-0.143939394,-14.40%
180,2020,4 weeks,"Tucson, AZ metro area",metro,6/1/2020,6/28/2020,350,-0.129353234,-12.90%
187,2020,4 weeks,"Tucson, AZ metro area",metro,6/8/2020,7/5/2020,351,-0.076315789,-7.60%
194,2020,4 weeks,"Tucson, AZ metro area",metro,6/15/2020,7/12/2020,353,-0.092544987,-9.30%
201,2020,4 weeks,"Tucson, AZ metro area",metro,6/22/2020,7/19/2020,362,-0.032085561,-3.20%
208,2020,4 weeks,"Tucson, AZ metro area",metro,6/29/2020,7/26/2020,361,0.011204482,1.10%
215,2020,4 weeks,"Tucson, AZ metro area",metro,7/6/2020,8/2/2020,371,0.010899183,1.10%
222,2020,4 weeks,"Tucson, AZ metro area",metro,7/13/2020,8/9/2020,386,0.11884058,11.90%
229,2020,4 weeks,"Tucson, AZ metro area",metro,7/20/2020,8/16/2020,401,0.186390533,18.60%
236,2020,4 weeks,"Tucson, AZ metro area",metro,7/27/2020,8/23/2020,414,0.140495868,14.00%
243,2020,4 weeks,"Tucson, AZ metro area",metro,8/3/2020,8/30/2020,414,0.146814404,14.70%
250,2020,4 weeks,"Tucson, AZ metro area",metro,8/10/2020,9/6/2020,429,0.153225806,15.30%
257,2020,4 weeks,"Tucson, AZ metro area",metro,8/17/2020,9/13/2020,418,0.111702128,11.20%
264,2020,4 weeks,"Tucson, AZ metro area",metro,8/24/2020,9/20/2020,420,0.117021277,11.70%
271,2020,4 weeks,"Tucson, AZ metro area",metro,8/31/2020,9/27/2020,432,0.161290323,16.10%
278,2020,4 weeks,"Tucson, AZ metro area",metro,9/7/2020,10/4/2020,420,0.105263158,10.50%
285,2020,4 weeks,"Tucson, AZ metro area",metro,9/14/2020,10/11/2020,435,0.118251928,11.80%
292,2020,4 weeks,"Tucson, AZ metro area",metro,9/21/2020,10/18/2020,441,0.127877238,12.80%
299,2020,4 weeks,"Tucson, AZ metro area",metro,9/28/2020,10/25/2020,421,0.082262211,8.20%
306,2020,4 weeks,"Tucson, AZ metro area",metro,10/5/2020,11/1/2020,408,0.099730458,10.00%
313,2020,4 weeks,"Tucson, AZ metro area",metro,10/12/2020,11/8/2020,381,0.032520325,3.30%
320,2020,4 weeks,"Tucson, AZ metro area",metro,10/19/2020,11/15/2020,358,0.00280112,0.30%
327,2020,4 weeks,"Tucson, AZ metro area",metro,10/26/2020,11/22/2020,363,0.025423729,2.50%
334,2020,4 weeks,"Tucson, AZ metro area",metro,11/2/2020,11/29/2020,330,0.03125,3.10%
341,2020,4 weeks,"Tucson, AZ metro area",metro,11/9/2020,12/6/2020,323,0.045307443,4.50%
348,2020,4 weeks,"Tucson, AZ metro area",metro,11/16/2020,12/13/2020,313,0.102112676,10.20%
355,2020,4 weeks,"Tucson, AZ metro area",metro,11/23/2020,12/20/2020,286,0.104247104,10.40%
362,2020,4 weeks,"Tucson, AZ metro area",metro,11/30/2020,12/27/2020,267,0.126582278,12.70%
3,2021,4 weeks,"Tucson, AZ metro area",metro,12/7/2020,1/3/2021,242,0.12037037,12.00%
10,2021,4 weeks,"Tucson, AZ metro area",metro,12/14/2020,1/10/2021,254,0.003952569,0.40%
17,2021,4 weeks,"Tucson, AZ metro area",metro,12/21/2020,1/17/2021,278,-0.07641196,-7.60%
24,2021,4 weeks,"Tucson, AZ metro area",metro,12/28/2020,1/24/2021,330,-0.098360656,-9.80%
31,2021,4 weeks,"Tucson, AZ metro area",metro,1/4/2021,1/31/2021,370,-0.101941748,-10.20%
38,2021,4 weeks,"Tucson, AZ metro area",metro,1/11/2021,2/7/2021,399,-0.031553398,-3.20%
45,2021,4 weeks,"Tucson, AZ metro area",metro,1/18/2021,2/14/2021,407,-0.023980815,-2.40%
52,2021,4 weeks,"Tucson, AZ metro area",metro,1/25/2021,2/21/2021,411,-0.009638554,-1.00%
59,2021,4 weeks,"Tucson, AZ metro area",metro,2/1/2021,2/28/2021,422,0.036855037,3.70%
66,2021,4 weeks,"Tucson, AZ metro area",metro,2/8/2021,3/7/2021,422,0.011990408,1.20%
73,2021,4 weeks,"Tucson, AZ metro area",metro,2/15/2021,3/14/2021,430,0.018957346,1.90%
80,2021,4 weeks,"Tucson, AZ metro area",metro,2/22/2021,3/21/2021,442,0,0.00%
87,2021,4 weeks,"Tucson, AZ metro area",metro,3/1/2021,3/28/2021,439,-0.022271715,-2.20%
94,2021,4 weeks,"Tucson, AZ metro area",metro,3/8/2021,4/4/2021,425,-0.011627907,-1.20%
101,2021,4 weeks,"Tucson, AZ metro area",metro,3/15/2021,4/11/2021,419,0.066157761,6.60%
108,2021,4 weeks,"Tucson, AZ metro area",metro,3/22/2021,4/18/2021,423,0.208571429,20.90%
115,2021,4 weeks,"Tucson, AZ metro area",metro,3/29/2021,4/25/2021,423,0.3514377,35.10%
122,2021,4 weeks,"Tucson, AZ metro area",metro,4/5/2021,5/2/2021,433,0.41503268,41.50%
129,2021,4 weeks,"Tucson, AZ metro area",metro,4/12/2021,5/9/2021,441,0.386792453,38.70%
136,2021,4 weeks,"Tucson, AZ metro area",metro,4/19/2021,5/16/2021,432,0.297297297,29.70%
143,2021,4 weeks,"Tucson, AZ metro area",metro,4/26/2021,5/23/2021,434,0.232954545,23.30%
150,2021,4 weeks,"Tucson, AZ metro area",metro,5/3/2021,5/30/2021,413,0.207602339,20.80%
