"Period.Begin","Period.End","Day","Month","Year","Metro.City","Metro.State","adjusted_average_new_listings","adjusted_average_new_listings_yoy","adjusted_average_homes_sold","adjusted_average_homes_sold_yoy","Median.Sale.Price.Yoy","Median.Sale.Price"
2019-12-09,2020-01-05,5,1,2020,"Atlanta","GA",1569,-0.000636943,1881,0.152573529,0.065925942,249739.2
2019-12-16,2020-01-12,12,1,2020,"Atlanta","GA",1761,0.014400922,1688,0.160137457,0.074990063,247739.2
2019-12-23,2020-01-19,19,1,2020,"Atlanta","GA",1949,-0.035148515,1431,0.199497066,0.057322345,244989.2
2019-12-30,2020-01-26,26,1,2020,"Atlanta","GA",2381,-0.0132615,1431,0.270870337,0.048430189,243846.2
2020-01-06,2020-02-02,33,2,2020,"Atlanta","GA",2651,-0.008230453,1508,0.149390244,0.05241417,242596.2
2020-01-13,2020-02-09,40,2,2020,"Atlanta","GA",2677,-0.029369108,1512,0.144587434,0.0530483,243096.2
2020-01-20,2020-02-16,47,2,2020,"Atlanta","GA",2712,-0.027259684,1583,0.110098177,0.057827657,244596.2
2020-01-27,2020-02-23,54,2,2020,"Atlanta","GA",2710,-0.038325053,1689,0.113381674,0.068585028,24695
2020-02-03,2020-03-01,61,3,2020,"Atlanta","GA",2806,-0.04101162,1884,0.072282299,0.066294524,250712.5
2020-02-10,2020-03-08,68,3,2020,"Atlanta","GA",2902,-0.048212529,1989,0.058541778,0.057910729,252417.5
2020-02-17,2020-03-15,75,3,2020,"Atlanta","GA",3127,-0.016047829,2043,0.041284404,0.059335755,255167.5
2020-02-24,2020-03-22,82,3,2020,"Atlanta","GA",3312,-0.012227856,2155,0.041565974,0.073893209,258942.5
2020-03-02,2020-03-29,89,3,2020,"Atlanta","GA",3239,-0.048192771,2010,-0.065550907,0.077850129,260705
2020-03-09,2020-04-05,96,4,2020,"Atlanta","GA",3136,-0.090223383,2149,0.005144995,0.100453795,26675
2020-03-16,2020-04-12,103,4,2020,"Atlanta","GA",2842,-0.203698515,2038,-0.039132485,0.117219917,26925
2020-03-23,2020-04-19,110,4,2020,"Atlanta","GA",2576,-0.278431373,1948,-0.114545455,0.116308914,27175
2020-03-30,2020-04-26,117,4,2020,"Atlanta","GA",2438,-0.326519337,1799,-0.109846611,0.111971081,27125
2020-04-06,2020-05-03,124,5,2020,"Atlanta","GA",2439,-0.342055571,1818,-0.219072165,0.080065748,269475
2020-04-13,2020-05-10,131,5,2020,"Atlanta","GA",2571,-0.295809367,1766,-0.247870528,0.056665673,265725
2020-04-20,2020-05-17,138,5,2020,"Atlanta","GA",2753,-0.268791501,1763,-0.265722616,0.0299773,261396.6
2020-04-27,2020-05-24,145,5,2020,"Atlanta","GA",2870,-0.223064429,1813,-0.256967213,0.016122772,258896.6
2020-05-04,2020-05-31,152,5,2020,"Atlanta","GA",2797,-0.212777934,1816,-0.277070064,0.019836352,259396.6
2020-05-11,2020-06-07,159,6,2020,"Atlanta","GA",2895,-0.185883015,1947,-0.238560813,0.01766699,261896.6
2020-05-18,2020-06-14,166,6,2020,"Atlanta","GA",2872,-0.171618114,2038,-0.20545809,0.0185203,264662.5
2020-05-25,2020-06-21,173,6,2020,"Atlanta","GA",2950,-0.157864687,2186,-0.14072327,0.028780768,268537.5
2020-06-01,2020-06-28,180,6,2020,"Atlanta","GA",3038,-0.137666761,2240,-0.143730887,0.036420646,268562.5
